,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius],insolation_flux_earth
30,1958.0,0.7365474,0.01544,0.94,2657.83
46,593.0,8.4629991,0.0645,0.7,76.64
73,464.0,2.2907,0.0185,0.17,8.6
80,1898.0,1.5089557,0.02752,1.11,2852.63
83,1442.0,2.828042,0.04016,1.12,661.13
84,1700.0,4.03519,0.051,1.01,546.53
88,1550.0,1.9000693,0.0295,1.0,823.7
89,2000.0,3.89713,0.0518,1.65,1103.81
90,1521.0,1.7429935,0.02798,0.91,932.91
91,1024.0,9.24285,0.09,1.02,180.87
108,1074.0,9.20205,0.09,1.17,203.95
109,1438.0,4.0378962,0.04947,1.19,786.29
116,938.0,6.71837,0.071,0.79,132.26
148,431.0,21.1701963,0.1195,0.58,3.5
149,817.0,19.49221,0.1493,1.39,31.91
162,2119.0,0.571212,0.01312,0.95,4293.0
163,741.0,13.334615,0.1091,0.95,64.0
165,1401.0,6.180235,0.07229,1.59,642.0
166,183.0,3650.0,4.5,2.7,0.19
167,1616.0,3.5951,0.047,1.71,1037.0
168,990.0,15.624,0.13,1.71,160.0
169,752.0,35.747,0.22,1.71,53.0
171,587.0,2.30538,0.02279,0.3,20.5
172,387.0,8.0518,0.0525,0.3,3.87
173,456.0,5.746007,0.0385,0.31,7.2
174,231.0,10.3465,0.0457,0.14,0.67
175,182.0,21.202,0.0738,0.14,0.26
179,529.0,1.628931,0.0153,0.21,20.96
184,596.0,1.58040433,0.0149,0.21,21.0
185,1089.0,0.5182416,0.00915,0.39,233.0
187,422.0,35.61253,0.1915,0.7,5.62
203,351.0,14.238,0.0818,0.36,2.53
209,693.0,2.853136,0.03165,0.52,42.23
225,594.0,3.3366496,0.0355,0.55,40.58
226,773.0,1.1980035,0.01589,0.36,59.4
227,329.0,15.509,0.0876,0.36,1.95
230,525.0,3.93072,0.035,0.34,12.6
231,401.0,9.1247,0.061,0.34,4.45
232,220.0,55.661,0.204,0.34,0.38
234,1745.0,0.321962,0.0071,0.46,586.61
236,568.0,2.616235,0.0252,0.32,17.3
237,317.0,15.04,0.081,0.32,1.68
238,485.0,7.02679,0.05402,0.43,9.21
242,350.0,12.9394,0.07879,0.37,3.13
250,686.0,2.64388312,0.0291,0.46,29.43
252,701.0,1.467119,0.01734,0.33,40.3
254,202.0,140.43,0.422,0.5,0.28
278,829.0,2.37756,0.029,0.56,79.0
287,468.0,9.262,0.068,0.47,7.95
288,352.0,21.789,0.12,0.47,2.56
294,1044.0,1.2089819,0.0188,0.6,256.0
295,722.0,3.6480957,0.03925,0.6,59.0
296,605.0,6.2014698,0.05591,0.6,29.0
