,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
30,0.7365474,0.01544,1.875,7.99,6.66,0.05,1958.0,3.52,5172.0,0.94,0.91,0.35,12.5855
55,41.6855,0.241,2.578,22.2481,7.89,0.0,546.0,55.8,5766.0,1.08,1.67,-0.15,179.461
80,1.5089557,0.02752,16.7,327.35,0.38,0.0,1898.0,4.92,5950.0,1.11,0.95,-0.3,787.909
81,13.2406,0.1055,10.87,874.0,3.7,0.53,600.0,31.33,5075.0,0.79,0.89,0.26,338.386
82,2.99433,0.0436,16.03,740.51,0.99,0.0,1657.0,6.89,6440.0,1.37,1.27,-0.03,655.037
83,2.828042,0.04016,16.14,291.438,0.411,0.07,1442.0,8.0972,5675.0,1.12,1.08,0.16,1126.37
84,4.03519,0.051,9.92,415.704,2.34,0.0,1700.0,10.81,5945.0,1.01,1.09,0.01,1148.93
85,1.51214,0.027,12.22,2415.4,7.3,0.0,1952.0,4.78,6035.0,1.21,1.13,0.05,1744.6
87,3.7681,0.0461,11.43,772.29,2.82,0.0,1626.0,6.23,5740.0,1.59,1.04,0.0,1176.12
88,1.9000693,0.0295,14.68,1102.82,2.2,0.08,1550.0,6.35,5440.0,1.0,0.95,-0.1,764.889
89,3.89713,0.0518,14.46,352.78,0.71,0.047,2000.0,6.7,6090.0,1.65,1.21,-0.02,790.663
90,1.7429935,0.02798,16.432,1102.82,1.47,0.0143,1521.0,6.7659,5625.0,0.91,0.96,0.04,213.283
91,9.24285,0.09,9.416,1366.669,8.87,0.59,1024.0,18.95,5880.0,1.02,1.14,0.14,844.061
94,9.75598,0.092,4.88,12.2,0.249,0.077,885.0,17.3,5939.0,1.14,1.1,0.17,627.158
95,3.6313,0.048,11.77,889.9,3.0,0.16,1660.0,6.85,5900.0,1.61,1.14,0.05,1060.97
96,5.1134,0.056,3.7,5.7,0.9,0.0,1070.0,10.9,4950.0,0.86,0.91,0.3,591.555
97,11.759,0.098,5.0,28.0,1.3,0.0,850.0,18.0,4950.0,0.86,0.91,0.3,591.555
98,4.86069,0.0578,12.11,85.81,0.15,0.0,1330.0,10.2,6040.0,1.19,1.09,-0.01,1103.48
99,4.20474,0.0526,14.12,165.26,0.28,0.0,1600.0,6.28,5590.0,1.79,1.09,0.01,1045.18
100,3.57532,0.0476,11.287,3302.11,12.6,0.065,1500.0,9.48,5900.0,1.08,1.05,-0.1,1010.28
103,4.2568,0.05783,11.32,6883.91,26.4,0.0,1695.0,7.8,6740.0,1.56,1.37,0.14,768.771
108,9.20205,0.09,13.34,228.83,0.525,0.0,1074.0,17.36,6190.0,1.17,1.16,0.05,726.412
109,4.0378962,0.04947,15.558,148.42,0.217,0.09,1438.0,9.54,6100.0,1.19,1.0,-0.25,882.472
110,8.886593,0.0855,13.068,940.74,2.32,0.1,1017.0,17.94,6090.0,1.03,1.05,-0.2,645.294
111,0.85359163,0.017016,1.681,4.07661,9.355,0.0,1756.0,4.26,5275.0,0.83,0.82,0.05,159.906
114,6.21229,0.063,6.39,69.92,1.6,0.0,870.0,17.6,5080.0,0.77,0.88,0.3,322.037
115,95.272656,0.4021,11.949,266.9772,0.86,0.133,420.0,89.9,5625.0,0.96,0.96,-0.01,412.98
148,21.1701963,0.1195,1.92,4.35,3.38,0.06,431.0,44.37,4057.0,0.58,0.62,0.2,186.197
149,19.49221,0.1493,5.76,27.0,0.65,0.0,817.0,35.63,6069.0,1.39,1.17,0.1,181.69
158,13.603,0.098,2.586,7.2,2.29,0.2,536.0,31.994,4684.0,0.67,0.69,-0.137,336.25
159,65.55,0.28,2.69,7.7,2.17,0.2,316.0,91.172,4684.0,0.67,0.69,-0.137,336.25
162,0.571212,0.01312,1.6,7.72,8.5,0.0,2119.0,2.9,5613.0,0.95,0.93,0.01,244.59
163,13.334615,0.1091,2.2,5.8,2.0,0.18,741.0,26.0,5613.0,0.95,0.93,0.01,244.59
167,3.5951,0.047,1.95,8.75,6.39,0.06,1616.0,5.93,5430.0,1.71,1.05,0.2,321.296
168,15.624,0.13,3.67,14.67,1.62,0.07,990.0,15.79,5430.0,1.71,1.05,0.2,321.296
169,35.747,0.22,3.94,10.18,0.91,0.15,752.0,27.42,5430.0,1.71,1.05,0.2,321.296
179,1.628931,0.0153,1.13,1.66,6.3,0.22,529.0,16.0,3270.0,0.21,0.18,-0.12,12.613
184,1.58040433,0.0149,2.742,8.17,2.2,0.063,596.0,14.85,3250.0,0.21,0.18,0.29,14.6427
185,0.5182416,0.00915,1.18,1.32,4.41,0.0,1089.0,5.03,3458.0,0.39,0.38,0.1,20.373
187,35.61253,0.1915,2.61,22.7,7.0,0.188,422.0,60.1,4640.0,0.7,0.73,0.003,16.32
209,2.853136,0.03165,2.13,3.34,1.89,0.32,693.0,13.18,3556.0,0.52,0.52,-0.06,22.4751
225,3.3366496,0.0355,4.57,13.9,0.8,0.017,594.0,13.98,3600.0,0.55,0.54,0.2,29.4214
226,1.1980035,0.01589,1.264,1.86,5.03,0.0,773.0,9.39,3347.0,0.36,0.36,0.11,27.3644
234,0.321962,0.0071,0.718,0.546,8.106,0.0,1745.0,3.41,3522.0,0.46,0.45,-0.01,9.41263
236,2.616235,0.0252,1.09,1.75,7.3,0.0,568.0,16.8,3384.0,0.32,0.31,-0.02,15.8095
250,2.64388312,0.0291,4.17,22.1,1.8,0.13827,686.0,13.73,3586.11,0.46,0.47,0.099,9.75321
294,1.2089819,0.0188,1.577,4.91,6.93,0.0,1044.0,6.719,4340.0,0.6,0.61,-0.26,29.661
295,3.6480957,0.03925,1.241,0.84,2.42,0.0,722.0,14.035,4340.0,0.6,0.61,-0.26,29.661
296,6.2014698,0.05591,2.022,4.04,2.69,0.0,605.0,20.003,4340.0,0.6,0.61,-0.26,29.661
297,1.744579,0.0338,16.477,6261.21962,8.222423,0.0,2300.0,4.67,7000.0,1.56,1.68,0.35,655.013
306,4.46529976,0.05561,14.785,166.86075,0.282,0.0,1322.0,9.853,5980.0,1.17,1.15,0.13,158.979
307,4.88780244,0.05254,4.36,26.69772,1.68,0.218,838.0,16.7184,4780.0,0.68,0.81,0.31,37.7647
309,3.2130598,0.0384,10.749,67.059,0.3192,0.0,963.0,11.77,4650.0,0.7,0.73,-0.29,142.751
310,2.91625,0.04383,14.258,270.462,0.362,0.0133,1740.0,5.8928,5653.0,1.76,1.32,0.46,246.81
312,4.62767,0.0596,15.917,1093.3352,1.56,0.11,1624.0,8.9,6600.0,1.82,2.65,0.11,222.663
313,10.8635,0.0965,11.882,616.5902,1.96,0.19,904.0,19.25,5568.0,1.07,1.0,0.22,192.516
314,2.77596,0.0413,14.448,1332.605,2.42,0.036,1626.0,7.17,6158.0,1.24,1.22,0.17,226.637
315,10.33852,0.0882,11.769,184.3414,0.64,0.35,792.0,22.72,5246.0,0.87,0.99,0.0,92.3831
317,5.508023,0.0559,11.153,62.61,0.25,0.084,852.0,16.04,4803.0,0.75,0.77,0.1,161.4
318,4.008778,0.0466,12.689,92.802,0.25,0.067,1010.0,12.24,4990.0,0.82,0.84,0.23,202.078
319,5.6335158,0.06814,10.66,2765.121,7.29,0.5172,1540.0,10.28,6380.0,1.39,1.33,0.18,127.774
320,2.875317,0.0361,9.718,2302.899,13.78,0.015,970.0,11.17,4595.0,0.69,0.76,0.35,71.0374
321,4.12448,0.0494,12.442,1547.8321,4.6,0.23,1283.0,9.65,5588.0,1.21,1.24,0.01,277.278
322,3.21222,0.0414,12.89,785.0401,2.14,0.02,1463.0,8.58,5302.0,1.11,1.13,0.24,81.7647
323,1.21288,0.0232,12.218,425.8922,1.406,0.11,1951.0,4.16,5905.0,0.96,0.58,0.15,364.813
324,3.35524,0.04651,14.572,238.3725,0.44,0.07,1637.0,7.61,6373.0,1.38,1.37,-0.16,415.344
325,3.65281514,0.0466,12.722,180.84527,0.483,0.023,1182.0,10.9,5519.0,0.92,1.01,0.294,300.384
326,4.23452,0.0479,7.062,22.2481,0.4,0.12,1001.0,13.09,5079.0,0.87,1.12,-0.04,141.837
327,3.039577,0.04,11.43,197.05,0.76,0.0,1092.0,9.804,5316.0,0.86,0.92,0.3,199.173
328,3.257215,0.0434,13.585,198.953,0.44,0.051,1384.0,8.43,5680.0,1.1,1.03,0.12,401.319
329,5.72319,0.0667,13.115,279.6904,0.79,0.09,1271.0,11.74,6087.0,1.3,1.45,0.21,313.576
330,2.8997,0.03866,10.536,206.5895,0.855,0.0,1189.0,10.05,5185.0,0.87,1.06,0.27,134.554
331,2.8106,0.0419,16.141,263.7989,0.309,0.04,1630.0,7.43,6304.0,1.31,1.55,0.13,213.985
332,5.00542,0.061,12.218,721.4741,2.18,0.25,1450.0,9.7,6065.0,1.39,1.31,0.15,344.05
333,2.1500082,0.03397,22.194,216.1244,0.108,0.159,1836.0,5.344,6001.0,1.37,1.13,-0.16,289.205
334,3.47447,0.04995,20.737,292.4036,0.2,0.0,1782.0,6.57,6446.0,1.79,1.82,0.05,396.11
335,5.452654,0.06774,13.417,1058.3739,2.5,0.432,1520.0,9.86,6442.0,1.53,1.39,0.22,249.325
336,3.646706,0.04978,14.93,335.62848,0.55,0.02,1581.0,7.45,6096.0,1.44,1.24,0.11,506.965
337,1.32734683,0.0241,14.314,587.41341,1.175,0.063,1781.0,4.95,5620.0,1.04,1.03,0.25,294.419
338,2.797436,0.0379,13.204,371.528,0.89,0.058,1271.0,9.32,5500.0,0.88,0.93,0.03,390.594
339,4.640382,0.0523,9.247,84.857,0.59,0.067,1082.0,12.17,5330.0,0.92,0.89,0.06,255.206
340,3.54387,0.0509,17.609,190.372,0.19,0.0,1752.0,6.74,6430.0,1.62,1.4,0.19,697.004
341,3.056536,0.04438,14.28,213.255,0.403,0.0,1686.0,6.04,5860.0,1.62,0.56,0.24,320.451
342,4.45724,0.0608,17.038,152.5584,0.15,0.0,1770.0,5.94,6080.0,1.94,1.03,0.22,464.469
343,2.69405,0.04258,22.978,378.2177,0.204,0.0,1941.0,5.45,6390.0,2.05,2.56,0.21,348.185
344,4.641878,0.0575,14.348,331.801,0.61,0.0,1428.0,8.08,5743.0,1.53,1.18,0.27,405.238
345,3.3326414,0.0444,13.63,210.395,0.39,0.21,1353.0,8.86,5693.0,1.08,1.03,0.2,528.825
346,4.301219,0.0507,13.922,111.871,0.23,0.044,1108.0,11.49,5295.0,0.95,0.94,0.33,347.85
348,3.128992,0.0452,15.984,283.492,0.38,0.049,1652.0,7.36,6330.0,1.32,1.26,0.07,298.64
349,4.463129,0.0577,14.392,156.684,0.28,0.123,1458.0,8.86,6120.0,1.4,1.28,0.3,290.736
350,2.69155,0.04378,17.822,699.226,0.75,0.0,2131.0,5.15,6820.0,2.06,2.22,0.07,350.351
351,2.78849,0.04073,13.563,311.4734,0.642,0.0,1539.0,7.53,5960.0,1.12,1.04,0.24,303.336
352,3.1220109,0.0453,14.437,429.0705,0.78,0.115,1862.0,5.68,6280.0,1.7,1.27,-0.18,515.458
353,4.2180278,0.05069,14.493,98.20947,0.178,0.123,1192.0,10.48,5449.0,1.04,0.98,0.27,440.089
354,2.7535953,0.03694,11.31,259.98494,0.98,0.047,1218.0,8.89,5131.0,0.89,0.89,0.28,361.155
355,1.9616241,0.03159,14.773,471.65972,0.8,0.134,1778.0,5.61,5956.0,1.21,1.09,0.0,666.802
356,3.799847,0.04117,10.581,241.5508,1.118,0.074,818.0,14.34,4390.0,0.62,0.65,-0.127,143.651
357,3.5852467,0.04604,13.249,184.97706,0.435,0.139,1313.0,9.79,5808.0,1.01,1.01,-0.03,511.388
358,2.79083,0.0423,16.926,734.1873,0.75,0.29,1840.0,6.37,6566.0,1.47,1.42,0.0,320.639
359,2.4653,0.0406,19.504,448.1403,0.332,0.0,2200.0,5.82,6330.0,1.85,2.77,-0.25,279.86
360,4.0138379,0.04994,14.93,118.23217,0.194,0.073,1622.0,7.02,6078.0,1.53,1.03,-0.224,515.59
361,4.1419771,0.05064,12.588,489.45575,1.347,0.03,1278.0,9.87,5678.0,1.1,1.01,0.217,265.471
362,3.85298,0.05239,16.589,419.5356,0.558,0.0,1675.0,7.73,6570.0,1.62,1.79,-0.13,275.358
363,4.7947813,0.06277,18.282,182.43351,0.164,0.25,1772.0,6.146,6212.0,2.2,1.44,0.037,233.22
364,1.90231289,0.0301,10.077,335.94463,1.8,0.113,1505.0,6.9,5587.0,0.94,1.0,0.194,338.84
365,2.6453235,0.03772,12.027,241.86742,0.77,0.101,1512.0,6.93,5629.0,1.17,1.02,0.414,348.815
366,3.377728,0.04294,12.543,195.14664,0.54,0.069,1237.0,9.56,5400.0,0.97,0.93,0.251,4483.05
367,4.007232,0.05387,19.089,184.34048,0.144,0.101,1766.0,6.67,6457.0,1.74,1.3,-0.113,651.897
368,2.6054552,0.03951,21.185,167.49641,0.096,0.304,1930.0,4.57,5835.0,1.86,1.21,0.1,738.519
369,2.972086,0.04363,17.822,248.86089,0.242,0.09,1896.0,5.01,6002.0,1.88,1.26,0.035,935.456
370,4.8101025,0.06505,23.371,108.0622,0.052,0.0,1903.0,5.691,6406.0,2.55,1.64,-0.08,371.686
371,2.29840551,0.02996,12.016,230.10892,0.727,0.041,1028.0,9.6,4508.0,0.67,0.68,-0.059,202.152
372,4.7869491,0.06555,18.786,1137.8314,1.02,0.0,1930.0,7.32,7394.0,1.93,1.65,-0.069,341.263
373,2.20474,0.03676,16.926,584.8072,0.712,0.0,2733.0,4.13,6389.0,2.0,1.56,0.26,341.079
374,2.74432452,0.04739,20.961,2154.8874,1.54,0.0,2562.0,5.45,8450.0,1.86,1.89,-0.059,330.739
375,3.07634,0.04496,15.693,406.8224,0.568,0.0,1700.0,6.13,6200.0,1.57,1.27,0.01,211.553
376,3.92281072,0.05287,15.614,238.05467,0.342,0.084,1540.0,8.5,6350.0,1.34,1.28,0.12,455.203
377,3.446459,0.0444,14.594,589.55,1.03,0.12,1359.0,9.2,5870.0,1.04,0.99,-0.06,283.971
378,3.312846,0.04491,10.862,167.17858,0.7,0.501,1407.0,8.73,5880.0,1.1,1.1,0.15,534.889
379,3.619188,0.0507,18.03,263.7989,0.315,0.34,1596.0,6.92,6563.0,1.54,1.33,0.03,944.603
380,3.142702,0.0441,7.76,759.6137,1.12,0.085,1446.0,5.2,6357.0,1.17,1.16,-0.1,746.138
381,3.0440499,0.04057,13.585,172.58169,0.377,0.181,1244.0,9.82,5523.0,0.89,0.96,0.05,421.855
382,2.7667641,0.03815,11.646,340.39593,1.191,0.142,1276.0,8.8,5346.0,0.93,0.97,0.33,513.011
383,1.74748753,0.02712,12.386,689.6911,1.97,0.126,1505.0,6.33,5311.0,0.92,0.87,0.0,1139.55
384,2.686502,0.03744,14.572,1039.3041,1.86,0.0,1592.0,6.5,5738.0,1.24,0.97,-0.1,757.044
385,16.254611,0.1308,8.709,425.25654,3.5,0.029,814.0,25.8,5846.0,1.09,1.13,0.3,400.331
386,0.83784,0.0174,14.897,629.14449,1.1169,0.166,2069.0,3.658,5600.0,1.02,1.04,0.28,624.368
387,1.354133,0.023,13.092,427.463,1.05,0.0,1577.0,5.5,5227.0,0.9,0.88,0.15,341.925
388,4.7228124,0.05025,10.682,870.8542,3.89,0.079,858.0,15.7,4803.0,0.69,0.76,0.0,229.518
389,2.1605156,0.03397,20.849,467.2101,0.29,0.114,1654.0,6.08,5780.0,1.2,1.12,0.28,639.004
390,1.3484978,0.0238,15.637,718.2958,1.03,0.0,2166.0,4.561,6125.0,1.12,1.07,-0.229,494.182
391,4.2986432,0.05163,14.123,194.82979,0.38,0.176,1277.0,10.03,5715.0,1.11,0.99,0.02,471.158
392,3.3023881,0.04735,19.616,206.5895,0.153,0.245,1918.0,5.01,6071.0,2.04,1.3,-0.02,861.843
393,4.637038,0.0611,16.814,168.4499,0.18,0.581,1659.0,7.55,6438.0,1.74,1.42,0.09,816.988
394,3.1810781,0.04131,13.384,213.58176,0.48,0.202,1253.0,9.63,5498.0,0.92,0.93,0.01,535.383
395,4.6058749,0.05475,14.022,207.54299,0.411,0.158,1212.0,10.96,5670.0,1.07,1.03,0.16,353.891
396,3.547851,0.0485,15.48,340.382,0.51,0.0,1648.0,7.42,6351.0,1.4,1.21,-0.157,411.211
397,3.1743516,0.04354,13.171,224.38798,0.543,0.096,1414.0,8.82,5943.0,1.06,1.09,0.06,342.14
398,3.37796,0.0478,18.383,279.6904,0.243,0.233,1823.0,5.49,6050.0,1.87,1.27,0.0,773.974
