,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
30,0.7365474,0.01544,1.875,7.99,6.66,0.05,1958.0,3.52,5172.0,0.94,0.91,0.35,12.5855,5.0,2657.83,4.43,10.2
80,1.5089557,0.02752,16.7,327.35,0.38,0.0,1898.0,4.92,5950.0,1.11,0.95,-0.3,787.909,1.0,2852.63,4.25,1.6
83,2.828042,0.04016,16.14,291.438,0.411,0.07,1442.0,8.0972,5675.0,1.12,1.08,0.16,1126.37,1.0,661.13,4.38,6.3
84,4.03519,0.051,9.92,415.704,2.34,0.0,1700.0,10.81,5945.0,1.01,1.09,0.01,1148.93,1.0,546.53,4.46,1.635
88,1.9000693,0.0295,14.68,1102.82,2.2,0.08,1550.0,6.35,5440.0,1.0,0.95,-0.1,764.889,1.0,823.7,4.4,0.032
89,3.89713,0.0518,14.46,352.78,0.71,0.047,2000.0,6.7,6090.0,1.65,1.21,-0.02,790.663,1.0,1103.81,4.07,5.0
90,1.7429935,0.02798,16.432,1102.82,1.47,0.0143,1521.0,6.7659,5625.0,0.91,0.96,0.04,213.283,1.0,932.91,4.53,2.7
91,9.24285,0.09,9.416,1366.669,8.87,0.59,1024.0,18.95,5880.0,1.02,1.14,0.14,844.061,2.0,180.87,4.35,0.1
108,9.20205,0.09,13.34,228.83,0.525,0.0,1074.0,17.36,6190.0,1.17,1.16,0.05,726.412,1.0,203.95,4.41,1.0
109,4.0378962,0.04947,15.558,148.42,0.217,0.09,1438.0,9.54,6100.0,1.19,1.0,-0.25,882.472,1.0,786.29,4.19,6.9
148,21.1701963,0.1195,1.92,4.35,3.38,0.06,431.0,44.37,4057.0,0.58,0.62,0.2,186.197,1.0,3.5,4.7,0.79
