,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
30,2657.83,1958.0,0.7365474,0.01544,0.94
46,76.64,593.0,8.4629991,0.0645,0.7
73,8.6,464.0,2.2907,0.0185,0.17
80,2852.63,1898.0,1.5089557,0.02752,1.11
83,661.13,1442.0,2.828042,0.04016,1.12
84,546.53,1700.0,4.03519,0.051,1.01
88,823.7,1550.0,1.9000693,0.0295,1.0
89,1103.81,2000.0,3.89713,0.0518,1.65
90,932.91,1521.0,1.7429935,0.02798,0.91
91,180.87,1024.0,9.24285,0.09,1.02
108,203.95,1074.0,9.20205,0.09,1.17
109,786.29,1438.0,4.0378962,0.04947,1.19
116,132.26,938.0,6.71837,0.071,0.79
127,115.83,850.0,8.138268,288.6525,0.96
148,3.5,431.0,21.1701963,0.1195,0.58
149,31.91,817.0,19.49221,0.1493,1.39
162,4293.0,2119.0,0.571212,0.01312,0.95
163,64.0,741.0,13.334615,0.1091,0.95
165,642.0,1401.0,6.180235,0.07229,1.59
166,0.19,183.0,3650.0,4.5,2.7
167,1037.0,1616.0,3.5951,0.047,1.71
168,160.0,990.0,15.624,0.13,1.71
169,53.0,752.0,35.747,0.22,1.71
171,20.5,587.0,2.30538,0.02279,0.3
172,3.87,387.0,8.0518,0.0525,0.3
173,7.2,456.0,5.746007,0.0385,0.31
174,0.67,231.0,10.3465,0.0457,0.14
175,0.26,182.0,21.202,0.0738,0.14
176,3.8,316.6069375671586,3.204,0.021,0.16
177,1.4,310.9728680733293,6.689,0.035,0.16
178,0.6,296.4624756815693,13.031,0.054,0.16
179,20.96,529.0,1.628931,0.0153,0.21
184,21.0,596.0,1.58040433,0.0149,0.21
185,233.0,1089.0,0.5182416,0.00915,0.39
187,5.62,422.0,35.61253,0.1915,0.7
203,2.53,351.0,14.238,0.0818,0.36
205,1.06,301.7641187945838,18.6498,0.091101,0.29
206,6.66,319.6728033839903,4.7234,0.036467,0.29
209,42.23,693.0,2.853136,0.03165,0.52
210,118.1,350.84659606797373,1.22003,0.0197,0.5
211,13.9,322.06246153997006,5.974,0.057,0.5
212,0.1,305.2689554139634,257.8,0.698,0.5
217,1.07,301.7641187945838,30.5987,0.14339,0.4
218,0.17,301.7641187945838,122.6196,0.36175,0.4
219,0.59,301.7641187945838,48.1345,0.19394,0.4
220,3.34,302.68266046125046,13.2543,0.08208,0.4
221,2.58,314.3815282870755,5.3636,0.03282,0.12
222,0.17,295.95262340884204,40.54,0.1264,0.12
225,40.58,594.0,3.3366496,0.0355,0.55
226,59.4,773.0,1.1980035,0.01589,0.36
227,1.95,329.0,15.509,0.0876,0.36
230,12.6,525.0,3.93072,0.035,0.34
231,4.45,401.0,9.1247,0.061,0.34
232,0.38,220.0,55.661,0.204,0.34
234,586.61,1745.0,0.321962,0.0071,0.46
236,17.3,568.0,2.616235,0.0252,0.32
237,1.68,317.0,15.04,0.081,0.32
238,9.21,485.0,7.02679,0.05402,0.43
242,3.13,350.0,12.9394,0.07879,0.37
250,29.43,686.0,2.64388312,0.0291,0.46
252,40.3,701.0,1.467119,0.01734,0.33
254,0.28,202.0,140.43,0.422,0.5
278,79.0,829.0,2.37756,0.029,0.56
287,7.95,468.0,9.262,0.068,0.47
288,2.56,352.0,21.789,0.12,0.47
294,256.0,1044.0,1.2089819,0.0188,0.6
295,59.0,722.0,3.6480957,0.03925,0.6
296,29.0,605.0,6.2014698,0.05591,0.6
297,4650.0,2300.0,1.744579,0.0338,1.56
302,512.02,1213.0,3.6915224,0.0467,1.06
306,243.7,1322.0,4.46529976,0.05561,1.17
307,100.77,838.0,4.88780244,0.05254,0.68
309,118.08,963.0,3.2130598,0.0384,0.7
310,1978.52,1740.0,2.91625,0.04383,1.76
312,1038.78,1624.0,4.62767,0.0596,1.82
313,79.76,904.0,10.8635,0.0965,1.07
