,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
7,3165.0796094172,1700.0,330.0
11,3165.0796094172,1450.0,118.0
13,3165.0796094172,1600.0,52.0
16,3165.0796094172,1250.0,55.0
25,11688.0,700.0,13.2
27,14.6516,700.0,0.1134
30,0.7365474,1958.0,0.01544
45,7520.0,1400.0,7.99
46,8.4629991,593.0,0.0645
47,18.858991,454.0,0.1101
55,41.6855,546.0,0.241
61,3165.0796094172,1303.0,1662.0
73,2.2907,464.0,0.0185
74,10037.5,370.0,2.6
75,8040000.0,1800.0,200.0
78,402000000.0,434.0,7506.0
79,3165.0796094172,2600.0,440.0
80,1.5089557,1898.0,0.02752
81,13.2406,600.0,0.1055
82,2.99433,1657.0,0.0436
83,2.828042,1442.0,0.04016
84,4.03519,1700.0,0.051
85,1.51214,1952.0,0.027
87,3.7681,1626.0,0.0461
88,1.9000693,1550.0,0.0295
89,3.89713,2000.0,0.0518
90,1.7429935,1521.0,0.02798
91,9.24285,1024.0,0.09
94,9.75598,885.0,0.092
95,3.6313,1660.0,0.048
96,5.1134,1070.0,0.056
97,11.759,850.0,0.098
98,4.86069,1330.0,0.0578
99,4.20474,1600.0,0.0526
100,3.57532,1500.0,0.0476
103,4.2568,1695.0,0.05783
106,3.22748,1747.0,0.0429
107,5.616531,1567.0,0.066
108,9.20205,1074.0,0.09
109,4.0378962,1438.0,0.04947
110,8.886593,1017.0,0.0855
111,0.85359163,1756.0,0.017016
114,6.21229,870.0,0.063
115,95.272656,420.0,0.4021
116,6.71837,938.0,0.071
119,3165.0796094172,2200.0,330.0
120,18.57,877.0,0.1462
121,6.584,1239.0,0.0733
122,2.882,1632.0,0.0422
123,5.516,1314.0,0.0651
124,5.2072,1000.0,0.0664
125,6.6732,854.0,0.0662
148,21.1701963,431.0,0.1195
149,19.49221,817.0,0.1493
158,13.603,536.0,0.098
159,65.55,316.0,0.28
162,0.571212,2119.0,0.01312
163,13.334615,741.0,0.1091
165,6.180235,1401.0,0.07229
166,3650.0,183.0,4.5
167,3.5951,1616.0,0.047
168,15.624,990.0,0.13
169,35.747,752.0,0.22
170,3165.0796094172,2375.0,800.0
171,2.30538,587.0,0.02279
172,8.0518,387.0,0.0525
173,5.746007,456.0,0.0385
174,10.3465,231.0,0.0457
175,21.202,182.0,0.0738
179,1.628931,529.0,0.0153
180,8.929,300.0,0.0476
184,1.58040433,596.0,0.0149
185,0.5182416,1089.0,0.00915
187,35.61253,422.0,0.1915
188,11.4407,550.0,0.072
203,14.238,351.0,0.0818
207,133.71,350.0,0.49
209,2.853136,693.0,0.03165
224,24.422,391.0,0.142
225,3.3366496,594.0,0.0355
226,1.1980035,773.0,0.01589
227,15.509,329.0,0.0876
230,3.93072,525.0,0.035
231,9.1247,401.0,0.061
232,55.661,220.0,0.204
234,0.321962,1745.0,0.0071
236,2.616235,568.0,0.0252
237,15.04,317.0,0.081
238,7.02679,485.0,0.05402
239,6.905,590.0,0.0608
242,12.9394,350.0,0.07879
243,50.8,309.0,0.2324
244,749.83,125.0,1.4
250,2.64388312,686.0,0.0291
252,1.467119,701.0,0.01734
253,3165.0796094172,510.0,43.5
254,140.43,202.0,0.422
277,19.466,401.0,0.119
278,2.37756,829.0,0.029
287,9.262,468.0,0.068
288,21.789,352.0,0.12
292,18.27,453.0,0.1139
294,1.2089819,1044.0,0.0188
295,3.6480957,722.0,0.03925
296,6.2014698,605.0,0.05591
297,1.744579,2300.0,0.0338
298,3165.0796094172,2650.0,100.0
299,3165.0796094172,2300.0,320.0
300,3165.0796094172,1050.0,2000.0
302,3.6915224,1213.0,0.0467
303,3.822,830.0,0.039435
305,15.53,379.0,0.091
306,4.46529976,1322.0,0.05561
307,4.88780244,838.0,0.05254
309,3.2130598,963.0,0.0384
310,2.91625,1740.0,0.04383
311,446.27,340.0,1.258
312,4.62767,1624.0,0.0596
313,10.8635,904.0,0.0965
314,2.77596,1626.0,0.0413
315,10.33852,792.0,0.0882
317,5.508023,852.0,0.0559
318,4.008778,1010.0,0.0466
319,5.6335158,1540.0,0.06814
320,2.875317,970.0,0.0361
321,4.12448,1283.0,0.0494
322,3.21222,1463.0,0.0414
323,1.21288,1951.0,0.0232
324,3.35524,1637.0,0.04651
325,3.65281514,1182.0,0.0466
326,4.23452,1001.0,0.0479
327,3.039577,1092.0,0.04
328,3.257215,1384.0,0.0434
329,5.72319,1271.0,0.0667
330,2.8997,1189.0,0.03866
331,2.8106,1630.0,0.0419
332,5.00542,1450.0,0.061
333,2.1500082,1836.0,0.03397
334,3.47447,1782.0,0.04995
335,5.452654,1520.0,0.06774
336,3.646706,1581.0,0.04978
337,1.32734683,1781.0,0.0241
338,2.797436,1271.0,0.0379
339,4.640382,1082.0,0.0523
340,3.54387,1752.0,0.0509
341,3.056536,1686.0,0.04438
342,4.45724,1770.0,0.0608
343,2.69405,1941.0,0.04258
344,4.641878,1428.0,0.0575
345,3.3326414,1353.0,0.0444
346,4.301219,1108.0,0.0507
348,3.128992,1652.0,0.0452
349,4.463129,1458.0,0.0577
350,2.69155,2131.0,0.04378
351,2.78849,1539.0,0.04073
352,3.1220109,1862.0,0.0453
353,4.2180278,1192.0,0.05069
354,2.7535953,1218.0,0.03694
355,1.9616241,1778.0,0.03159
356,3.799847,818.0,0.04117
357,3.5852467,1313.0,0.04604
358,2.79083,1840.0,0.0423
359,2.4653,2200.0,0.0406
360,4.0138379,1622.0,0.04994
361,4.1419771,1278.0,0.05064
362,3.85298,1675.0,0.05239
363,4.7947813,1772.0,0.06277
364,1.90231289,1505.0,0.0301
365,2.6453235,1512.0,0.03772
366,3.377728,1237.0,0.04294
367,4.007232,1766.0,0.05387
368,2.6054552,1930.0,0.03951
369,2.972086,1896.0,0.04363
370,4.8101025,1903.0,0.06505
371,2.29840551,1028.0,0.02996
372,4.7869491,1930.0,0.06555
373,2.20474,2733.0,0.03676
374,2.74432452,2562.0,0.04739
375,3.07634,1700.0,0.04496
376,3.92281072,1540.0,0.05287
377,3.446459,1359.0,0.0444
378,3.312846,1407.0,0.04491
379,3.619188,1596.0,0.0507
380,3.142702,1446.0,0.0441
381,3.0440499,1244.0,0.04057
382,2.7667641,1276.0,0.03815
383,1.74748753,1505.0,0.02712
384,2.686502,1592.0,0.03744
385,16.254611,814.0,0.1308
386,0.83784,2069.0,0.0174
387,1.354133,1577.0,0.023
388,4.7228124,858.0,0.05025
389,2.1605156,1654.0,0.03397
390,1.3484978,2166.0,0.0238
391,4.2986432,1277.0,0.05163
392,3.3023881,1918.0,0.04735
393,4.637038,1659.0,0.0611
394,3.1810781,1253.0,0.04131
395,4.6058749,1212.0,0.05475
396,3.547851,1648.0,0.0485
397,3.1743516,1414.0,0.04354
398,3.37796,1823.0,0.0478
399,2.8126548,1437.0,0.04024
400,2.5495551,1429.0,0.03727
401,2.1061607,1445.0,0.03166
