,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
0,1.29, , ,326.03
1,1.53, , ,516.21997
2,0.83, , ,185.84
3,2.773069, , ,1765.03890112
4,1.66, , ,798.5
5,1.45, , ,578.38
6,2.6, , ,993.3
7,330.0,1700, ,3165.0796094172
8,0.19, , ,30.3506
9,1.333, , ,452.8
10,2.08, , ,883.0
11,118.0,1450, ,3165.0796094172
12,84.0, , ,3165.0796094172
13,52.0,1600, ,3165.0796094172
14,156.0, , ,3165.0796094172
15,15.0, , ,1913.9498069838028
16,55.0,1250, ,3165.0796094172
17,0.92, , ,406.0
18,230.0, , ,3165.0796094172
19,0.99, , ,335.10001
20,0.87, , ,269.3
21,1.19, , ,479.1
22,2.1, , ,1078.0
23,3.6, , ,2391.0
24,11.6, , ,14002.0
25,13.2,700, ,11688.0
26,0.0527, , ,4.230785
27,0.1134,700, ,14.6516
28,0.2373, , ,44.3989
29,5.957, , ,5574.2
30,0.01544,1958,2657.83,0.7365474
31,0.7708, , ,259.88
32,2.11, , ,934.3
33,0.050201, , ,4.215
34,0.2175, , ,38.021
35,0.476, , ,123.01
36,1.758, , ,735.1
37,2.153, , ,996.0
38,0.481, , ,116.688
39,2.1, , ,691.9
40,0.49, , ,93.4
41,2.5, , ,952.7
42,0.7, , ,181.4
43,93.9, , ,3165.0796094172
44,260.0, , ,3165.0796094172
45,7.99,1400, ,7520.0
46,0.0645,593,76.64,8.4629991
47,0.1101,454, ,18.858991
48,1.3, , ,481.9
49,0.78, , ,268.94
50,0.576, , ,153.22
51,0.539, , ,137.48
52,1.05, , ,379.63
53,2.01, , ,621.99
54,1.3, , ,578.2
55,0.241,546, ,41.6855
56,0.83, , ,307.88
57,1.0, , ,392.6
58,1.7, , ,733.0
59,4.2, , ,2590.0
60,0.78, , ,265.59
61,1662.0,1303, ,3165.0796094172
62,2.06, , ,1198.48
63,1.48, , ,723.2
64,0.0428, , ,3.8728
65,0.435, , ,125.94
66,0.06, , ,5.6
67,0.68, , ,237.6
68,0.04, , ,3.48777
69,2.36, , ,1634.0
70,0.3, , ,74.2
71,1.66, , ,714.29999
72,1.34, , ,655.6
73,0.0185,464,8.60,2.2907
74,2.6,370, ,10037.5
75,200.0,1800, ,8040000.0
76,210.0, , ,3165.0796094172
78,7506.0,434, ,402000000.0
79,440.0,2600, ,3165.0796094172
80,0.02752,1898,2852.63,1.5089557
81,0.1055,600, ,13.2406
82,0.0436,1657, ,2.99433
83,0.04016,1442,661.13,2.828042
84,0.051,1700,546.53,4.03519
85,0.027,1952, ,1.51214
86,0.0618, , ,5.35227
87,0.0461,1626, ,3.7681
88,0.0295,1550,823.70,1.9000693
89,0.0518,2000,1103.81,3.89713
90,0.02798,1521,932.91,1.7429935
91,0.09,1024,180.87,9.24285
92,2.9, , ,1675.0
93,0.0417, , ,2.72474
94,0.092,885, ,9.75598
95,0.048,1660, ,3.6313
96,0.056,1070, ,5.1134
97,0.098,850, ,11.759
98,0.0578,1330, ,4.86069
99,0.0526,1600, ,4.20474
100,0.0476,1500, ,3.57532
101,0.0603, , ,5.20851
102,0.0386, , ,2.85057
103,0.05783,1695, ,4.2568
104,0.0844, , ,9.06005
105,0.0586, , ,4.62941
106,0.0429,1747, ,3.22748
107,0.066,1567, ,5.616531
108,0.09,1074,203.95,9.20205
109,0.04947,1438,786.29,4.0378962
110,0.0855,1017, ,8.886593
111,0.017016,1756, ,0.85359163
112,0.046, , ,3.698
114,0.063,870, ,6.21229
115,0.4021,420, ,95.272656
116,0.071,938,132.26,6.71837
117,5.75, , ,4098.1
118,0.36, , ,246.36
119,330.0,2200, ,3165.0796094172
120,0.1462,877, ,18.57
121,0.0733,1239, ,6.584
122,0.0422,1632, ,2.882
123,0.0651,1314, ,5.516
124,0.0664,1000, ,5.2072
125,0.0662,854, ,6.6732
126,8.19, , ,10220.0
127,288.6525,850,115.83,8.138268
128,0.0349, , ,6.7987
132,288.6525,1874, ,0.877214
135,0.0296, , ,2.0478
137,0.035, , ,4.1698
138,288.6525,961, ,8.050722
148,0.1195,431,3.50,21.1701963
149,0.1493,817,31.91,19.49221
150,288.6525,1149, ,2.289363
151,288.6525,866, ,5.213965
154,288.6525,756, ,15.28078
155,288.6525,658, ,23.228555
158,0.098,536, ,13.603
159,0.28,316, ,65.55
162,0.01312,2119,4293.00,0.571212
163,0.1091,741,64.00,13.334615
164,288.6525,932, ,0.728113
165,0.07229,1401,642.00,6.180235
166,4.5,183,0.19,3650.0
167,0.047,1616,1037.00,3.5951
