,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
0,11 Com b,11 Com,326.03,1.29,12.100,6165.60000,19.100000,0.231000, ,14.599543022985904,4742.00,19.00,2.70,-0.350,93.1846000,1, ,2.31, 
1,11 UMi b,11 UMi,516.21997,1.53,12.300,4684.81420,13.800000,0.080000, ,11.04394106752956,4213.00,29.79,2.78,-0.020,125.3210000,1, ,1.93,1.560
2,14 And b,14 And,185.84,0.83,12.900,1525.50000,3.900000,0.000000, ,16.225144007927252,4813.00,11.00,2.20,-0.240,75.4392000,1, ,2.63,4.500
3,14 Her b,14 Her,1765.03890112,2.773069,12.600,2586.74645,7.110000,0.372689, ,641.1813480478131,5338.00,0.93,0.91,0.405,17.9323000,2, ,4.45,3.900
4,16 Cyg B b,16 Cyg B,798.5,1.66,13.500,565.73740,1.260000,0.680000, ,315.8877594463713,5750.00,1.13,1.08,0.060,21.1397000,1, ,4.36,7.400
5,17 Sco b,17 Sco,578.38,1.45,12.900,1373.01872,3.510000,0.060000, ,12.029183722224063,4157.00,25.92,1.22,-0.010,124.9530000,1, ,1.70,5.130
6,18 Del b,18 Del,993.3,2.6,12.500,3273.50000,9.210000,0.080000, ,65.77450299457398,4979.00,8.50,2.30,-0.052,76.2220000,1, ,2.82,1.100
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,3165.0796094172,330.0,18.647,3000.00000,2.540000, ,1700,54168.37372277745,4060.00,1.31,0.85, ,139.1350000,1, ,4.00,0.005
8,24 Boo b,24 Boo,30.3506,0.19,13.900,289.22530,0.592000,0.042000, ,3.839857661084332,4893.00,10.64,0.99,-0.770,95.9863000,1, ,2.42,6.920
9,24 Sex b,24 Sex,452.8,1.333,13.400,632.46000,1.440000,0.090000, ,58.4974887111476,5098.00,4.90,1.54,-0.030,72.0691000,2, ,3.50,2.700
10,24 Sex c,24 Sex,883.0,2.08,13.900,273.32000,0.559000,0.290000, ,91.278902114919,5098.00,4.90,1.54,-0.030,72.0691000,2, ,3.50,2.700
11,2M0437 b,2MASS J04372171+2651014,3165.0796094172,118.0,13.000,1271.31363,3.180000, ,1450,30206.88026719676,3100.00,0.84,0.17,0.010,128.4840000,1, ,4.50,2.500
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,3165.0796094172,84.0,12.300,4131.79000,12.200000, , ,, , ,0.19, ,47.2000000,1, , ,0.030
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,3165.0796094172,52.0,11.209,7786.50000,30.400000, ,1600,30220.71759210156,3530.00,0.37,0.40, ,33.8281000,1, ,4.86,0.120
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,3165.0796094172,156.0,16.141,4417.83700,5.770000, , ,119803.55902583116,3064.00,0.28,0.11, ,40.0896412,1, ,4.59,0.035
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1913.9498069838028,15.0,12.600,2383.60000,6.550000, , ,14023.827979612344,2936.00,0.23,0.02, ,120.4239870,1, ,5.01,0.001
16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,3165.0796094172,55.0,12.900,1589.15000,4.070000, ,1250,53758.00725518065,2825.00,0.22,0.02, ,64.3080000,1, ,5.03,0.008
17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.92,13.400,603.87700,1.380000,0.330000, ,989.147333495324,29564.00,0.20,0.48,-0.092,396.3320000,3, ,5.51, 
18,2MASS J22362452+4751425 b,2MASS J22362452+4751425,3165.0796094172,230.0,12.300,3972.87500,11.700000, , ,77277.1354293222,4045.00,0.64,0.60, ,69.5737000,1, ,4.62,0.120
19,30 Ari B b,30 Ari B,335.10001,0.99,12.300,4392.41060,13.000000,0.290000, ,150.9799352698691,6331.00,1.41,1.93,0.190,44.6570000,1, ,4.43,0.910
20,4 UMa b,4 UMa,269.3,0.87,12.700,2256.50000,6.050000,0.432000, ,10.330086430040238,4415.00,18.11,1.23,-0.250,73.4603000,1, ,1.80,4.604
21,42 Dra b,42 Dra,479.1,1.19,13.000,1233.13000,3.080000,0.380000, ,11.615438698804352,4200.00,22.03,0.98,-0.460,90.6545000,1, ,1.71,9.490
22,47 UMa b,47 UMa,1078.0,2.1,13.200,804.08000,1.920000,0.032000, ,373.19608342439466,5872.00,1.21,1.06,0.040,13.7967000,3, ,4.30,6.480
23,47 UMa c,47 UMa,2391.0,3.6,14.200,171.62100,0.329000,0.098000, ,639.7647144418194,5872.00,1.21,1.06,0.040,13.7967000,3, ,4.30,6.480
24,47 UMa d,47 UMa,14002.0,11.6,13.500,521.22000,1.160000,0.160000, ,2061.4640798680844,5872.00,1.21,1.06,0.040,13.7967000,3, ,4.30,6.480
25,51 Eri b,51 Eri,11688.0,13.2,13.400,635.66000,1.450000,0.450000,700,1904.9817336064016,7295.00,1.49,1.75,-0.027,29.7575000,1, ,4.31,0.020
26,51 Peg b,51 Peg,4.230785,0.0527,14.300,146.20180,0.275000,0.013000, ,9.603549092705157,5758.00,1.18,1.03,0.180,15.4614000,1, ,4.31,10.000
27,55 Cnc b,55 Cnc,14.6516,0.1134,13.900,263.97850,0.540000,0.000000,700,25.94109796909569,5172.00,0.94,0.91,0.350,12.5855000,5, ,4.43,5.500
28,55 Cnc c,55 Cnc,44.3989,0.2373,8.510,54.47380,0.486000,0.030000, ,54.28414945384839,5172.00,0.94,0.91,0.350,12.5855000,5, ,4.43,10.200
29,55 Cnc d,55 Cnc,5574.2,5.957,13.000,1232.49300,3.080000,0.130000, ,1362.7082945494094,5172.00,0.94,0.91,0.350,12.5855000,5, ,4.43,5.500
30,55 Cnc e,55 Cnc,0.7365474,0.01544,1.875,7.99000,6.660000,0.050000,1958,3.52,5172.00,0.94,0.91,0.350,12.5855000,5,2657.83,4.43,10.200
31,55 Cnc f,55 Cnc,259.88,0.7708,7.590,44.81200,0.563000,0.080000, ,176.32626379699258,5172.00,0.94,0.91,0.350,12.5855000,5, ,4.43,10.200
32,6 Lyn b,6 Lyn,934.3,2.11,13.400,638.83830,1.460000,0.073000, ,87.25338100648553,4938.00,5.20,1.44,-0.130,54.6599000,1, ,3.19,2.353
33,61 Vir b,61 Vir,4.215,0.050201,2.110,5.10000,2.980000,0.120000, ,11.244607175905518,5577.00,0.96,0.94,-0.010,8.5033200,3, ,4.34,8.960
34,61 Vir c,61 Vir,38.021,0.2175,4.460,18.20000,1.130000,0.140000, ,48.71819407500747,5577.00,0.96,0.94,-0.010,8.5033200,3, ,4.34,8.960
35,61 Vir d,61 Vir,123.01,0.476,5.110,22.90000,0.943000,0.350000, ,106.62004772277496,5577.00,0.96,0.94,-0.010,8.5033200,3, ,4.34,8.960
36,7 CMa b,7 CMa,735.1,1.758,13.400,587.98550,1.340000,0.060000, ,77.62347166702881,4826.00,4.87,1.34,0.210,19.8101000,2, ,3.19,4.300
37,7 CMa c,7 CMa,996.0,2.153,13.900,276.51210,0.566000,0.080000, ,95.06446786070138,4826.00,4.87,1.34,0.210,19.8101000,2, ,3.19,4.300
38,70 Vir b,70 Vir,116.688,0.481,12.600,2380.45000,6.540000,0.398800, ,54.72508251797226,5495.00,1.89,1.09,-0.090,17.9011000,1, ,3.95,7.770
39,75 Cet b,75 Cet,691.9,2.1,13.100,953.49000,2.330000,0.117000, ,43.00640580414453,4846.00,10.50,2.49,0.000,82.9613000,1, ,2.63, 
40,8 UMi b,8 UMi,93.4,0.49,13.600,416.35730,0.910000,0.060000, ,10.229679050500396,4847.00,10.30,1.44,-0.030,162.5520000,1, ,2.57,1.700
41,81 Cet b,81 Cet,952.7,2.5,12.800,1684.40000,4.410000,0.206000, ,48.87091568652787,4785.00,11.00,2.40,-0.060,101.2600000,1, ,2.35, 
42,91 Aqr b,91 Aqr,181.4,0.7,13.100,1017.00000,2.490000,0.027000, ,13.683856392227804,4665.00,11.00,1.40,-0.030,44.0304000,1, ,2.52,3.560
43,AB Aur b,AB Aur,3165.0796094172,93.9,12.500,2860.45566,8.050000,0.400000, ,6821.455244947924,9770.00,2.96,2.40, ,162.1270000,1, ,3.77,0.003
44,AB Pic b,AB Pic,3165.0796094172,260.0,12.300,4290.50000,12.700000, , ,55908.32754538788,5285.00,1.00,0.90,0.040,50.0475000,1, ,4.53,0.030
45,AF Lep b,AF Lep,7520.0,7.99,12.800,1664.46737,4.360000,0.470000,1400,1374.484729500459,6100.00,1.25,1.20,0.290,26.8564000,1, ,4.40,0.024
46,AU Mic b,AU Mic,8.4629991,0.0645,4.070,20.12000,1.320000,0.186000,593,19.1,3588.00,0.70,0.50, ,9.7221000,2,76.64,4.39,0.022
47,AU Mic c,AU Mic,18.858991,0.1101,3.240,9.60000,1.220000,0.041000,454,31.7,3700.00,0.75,0.50, ,9.7221000,2, ,4.39,0.022
48,BD+03 2562 b,BD+03 2562,481.9,1.3,12.700,2034.11200,5.460000,0.200000, ,8.64,4095.00,32.35,1.14,-0.710,1070.6300000,1, ,1.89,5.200
49,BD+14 4559 b,BD+14 4559,268.94,0.78,13.800,330.54320,0.691000,0.290000, ,195.0290495769345,4864.00,0.86,0.49,0.170,49.3520000,1, ,4.26, 
50,BD+15 2375 b,BD+15 2375,153.22,0.576,13.800,337.21763,0.705000,0.001000, ,13.838932817423045,4649.00,8.95,1.08,-0.220,768.0450000,1, ,2.61,7.410
51,BD+15 2940 b,BD+15 2940,137.48,0.539,13.700,352.78000,0.754000,0.260000, ,7.884507730759831,4796.00,14.70,1.10,0.280,426.4200000,1, ,2.80,7.100
52,BD+20 2457 b,BD+20 2457,379.63,1.05,11.600,17668.16970,62.200000,0.150000, ,3.179155596617274,4259.00,71.02,10.83,-0.790,1539.7100000,2, ,1.77, 
53,BD+20 2457 c,BD+20 2457,621.99,2.01,12.400,3963.17000,11.400000,0.180000, ,8.820701598605153,4137.00,49.00,2.80,-1.000,1539.7100000,2, ,1.51, 
54,BD+20 274 b,BD+20 274,578.2,1.3,13.000,1334.88600,3.340000,0.210000, ,16.15847616918725,4296.00,17.30,0.80,-0.460,1322.5100000,1, ,1.99, 
55,BD+20 594 b,BD+20 594,41.6855,0.241,2.578,22.24810,7.890000,0.000000,546,55.8,5766.00,1.08,1.67,-0.150,179.4610000,1, ,4.50,3.340
56,BD+45 564 b,BD+45 564,307.88,0.83,13.600,432.24663,0.944000,0.120000, ,220.3414618360491,5004.00,0.81,0.81,-0.090,53.6220000,1, ,4.22, 
57,BD+48 738 b,BD+48 738,392.6,1.0,13.900,289.22530,0.592000,0.200000, ,19.548366274611148,4414.00,11.00,0.74,-0.200,871.4930000,1, ,2.24, 
58,BD+48 740 b,BD+48 740,733.0,1.7,13.500,540.31100,1.210000,0.760000, ,35.38765240418475,4534.00,10.33,1.09,-0.130,666.5890000,1, ,2.48, 
59,BD+49 828 b,BD+49 828,2590.0,4.2,13.500,508.50000,1.140000,0.350000, ,118.8334897219783,4943.00,7.60,1.52,-0.190,442.0420000,1, ,2.85,2.340
60,BD+55 362 b,BD+55 362,265.59,0.78,14.000,228.83645,0.458000,0.270000, ,186.3610918179596,5012.00,0.90,0.91,0.180,52.5697000,1, ,4.09, 
61,BD+60 1417 b,BD+60 1417,3165.0796094172,1662.0,14.684,4767.42610,8.270000, ,1303,446729.0402905512,4993.00,0.80,1.00, ,44.9543000,1, ,4.55,0.100
62,BD+63 1405 b,BD+63 1405,1198.48,2.06,13.000,1258.60049,3.150000,0.880000, ,553.7074747283607,5000.00,0.80,0.82,-0.090,38.0473000,1, ,4.20, 
63,BD-00 4475 b,BD-00 4475,723.2,1.48,12.000,7961.60160,25.300000,0.390000, ,378.8659558936542,5040.00,0.84,0.81,-0.140,42.6402000,1, ,4.25, 
64,BD-06 1339 b,BD-06 1339,3.8728,0.0428,2.850,8.50000,2.020000,0.000000, ,13.338218611720189,4324.00,0.69,0.70,-0.140,20.2695000,2, ,4.74,4.400
65,BD-06 1339 c,BD-06 1339,125.94,0.435,8.380,53.00000,0.495000,0.310000, ,135.563670469586,4324.00,0.69,0.70,-0.140,20.2695000,2, ,4.74,4.400
66,BD-08 2823 b,BD-08 2823,5.6,0.06,3.610,12.71320,1.480000,0.150000, ,18.17172076231459,4816.00,0.71,0.50,-0.060,41.3342000,2, ,4.43,4.500
67,BD-08 2823 c,BD-08 2823,237.6,0.68,12.500,104.00000,0.293000,0.190000, ,203.08580518623808,4746.00,0.72,0.74,-0.070,41.3342000,2, ,4.13,4.500
68,BD-10 3166 b,BD-10 3166,3.48777,0.04,14.100,187.51970,0.368000,0.020000, ,9.451957319592204,5393.00,0.91,1.47,0.380,84.4069000,1, ,4.69,1.000
69,BD-11 4672 b,BD-11 4672,1634.0,2.36,14.100,206.58950,0.405000,0.050000, ,792.9306070139146,4550.00,0.64,0.65,-0.350,27.1665000,2, ,4.64,7.400
70,BD-11 4672 c,BD-11 4672,74.2,0.3,4.040,15.37000,1.280000,0.400000, ,100.79626360346371,4550.00,0.64,0.65,-0.350,27.1665000,2, ,4.64,7.400
71,BD-13 2130 b,BD-13 2130,714.29999,1.66,12.500,3108.37740,8.750000,0.210000, ,18.620405225581614,4545.00,19.17,2.12,-0.080,925.2140000,1, ,2.20,0.740
72,BD-17 63 b,BD-17 63,655.6,1.34,12.800,1620.90000,4.250000,0.540000, ,417.5984331706788,4714.00,0.69,0.74,-0.030,34.4603000,1, ,4.26,4.300
73,CD Cet b,CD Cet,2.2907,0.0185,1.820,3.95000,3.600000, ,464,23.40054433460805,3130.00,0.17,0.16,0.130,8.6071500,1,8.60,4.93,3.000
74,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,12.400,3337.10000,9.620000, ,370,,580.50, ,0.02, ,23.1000000,1, ,4.72, 
75,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,20.849,2479.06157,1.500000, ,1800,179193.35751726886,2320.00,0.24,0.01, , ,1, ,3.85,0.003
76,CHXR 73 b,CHXR 73,3165.0796094172,210.0,12.300,3994.48600,11.800000, , ,,3099.00, ,0.35, ,190.3740000,1, , ,0.002
77,CI Tau b,CI Tau,8.9891,,12.400,3686.82800,10.600000,0.250000, ,,3807.00,1.88,0.90, ,157.9980000,1, , ,0.003
78,COCONUTS-2 b,COCONUTS-2 A,402000000.0,7506.0,12.442,2002.31896,5.710000, ,434,4138539.5123834456,3406.00,0.39,0.37,0.000,10.8864000,1, ,4.83,0.475
79,CT Cha b,CT Cha,3165.0796094172,440.0,24.660,5403.00000,1.980000, ,2600,56317.91236257021,4403.00,1.68, ,-0.560,190.7200000,1, ,3.66,0.002
80,CoRoT-1 b,CoRoT-1,1.5089557,0.02752,16.700,327.35000,0.380000,0.000000,1898,4.92,5950.00,1.11,0.95,-0.300,787.9090000,1,2852.63,4.25,1.600
81,CoRoT-10 b,CoRoT-10,13.2406,0.1055,10.870,874.00000,3.700000,0.530000,600,31.33,5075.00,0.79,0.89,0.260,338.3860000,1, ,4.65,3.000
82,CoRoT-11 b,CoRoT-11,2.99433,0.0436,16.030,740.51000,0.990000,0.000000,1657,6.89,6440.00,1.37,1.27,-0.030,655.0370000,1, ,4.22,2.000
83,CoRoT-12 b,CoRoT-12,2.828042,0.04016,16.140,291.43800,0.411000,0.070000,1442,8.0972,5675.00,1.12,1.08,0.160,1126.3700000,1,661.13,4.38,6.300
84,CoRoT-13 b,CoRoT-13,4.03519,0.051,9.920,415.70400,2.340000,0.000000,1700,10.81,5945.00,1.01,1.09,0.010,1148.9300000,1,546.53,4.46,1.635
85,CoRoT-14 b,CoRoT-14,1.51214,0.027,12.220,2415.40000,7.300000,0.000000,1952,4.78,6035.00,1.21,1.13,0.050,1744.6000000,1, ,4.35,4.200
86,CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.110,170.03200,0.440000,0.330000, ,11.2,5650.00,1.19,1.10,0.190,732.4090000,1, ,4.36,6.730
87,CoRoT-17 b,CoRoT-17,3.7681,0.0461,11.430,772.29000,2.820000,0.000000,1626,6.23,5740.00,1.59,1.04,0.000,1176.1200000,1, ,4.40,10.700
88,CoRoT-18 b,CoRoT-18,1.9000693,0.0295,14.680,1102.82000,2.200000,0.080000,1550,6.35,5440.00,1.00,0.95,-0.100,764.8890000,1,823.70,4.40,0.032
89,CoRoT-19 b,CoRoT-19,3.89713,0.0518,14.460,352.78000,0.710000,0.047000,2000,6.7,6090.00,1.65,1.21,-0.020,790.6630000,1,1103.81,4.07,5.000
90,CoRoT-2 b,CoRoT-2,1.7429935,0.02798,16.432,1102.82000,1.470000,0.014300,1521,6.7659,5625.00,0.91,0.96,0.040,213.2830000,1,932.91,4.53,2.700
91,CoRoT-20 b,CoRoT-20,9.24285,0.09,9.416,1366.66900,8.870000,0.590000,1024,18.95,5880.00,1.02,1.14,0.140,844.0610000,2,180.87,4.35,0.100
92,CoRoT-20 c,CoRoT-20,1675.0,2.9,12.200,5403.11000,16.400000,0.600000, ,455.17728770809896,4947.50,1.37,1.14,0.140,844.0610000,2, ,4.35,0.100
93,CoRoT-21 b,CoRoT-21,2.72474,0.0417,14.572,718.29580,1.360000,0.000000, ,4.6,6200.00,1.95,1.29,0.000,1398.8341969,1, ,3.70,4.100
