,0
0,
1,
2,11 Com b
3,11 Com
4,326.03000000
5,1.290000
6,12.100
7,6165.60000
8,19.100000
9,0.231000
10, 
11, 
12,4742.00
13,19.00
14,2.70
15,-0.350
16,93.1846000
17,
18,
19,
20,11 UMi b
21,11 UMi
22,516.21997000
23,1.530000
24,12.300
25,4684.81420
26,13.800000
27,0.080000
28, 
29, 
30,4213.00
31,29.79
32,2.78
33,-0.020
34,125.3210000
35,
36,
37,
38,14 And b
39,14 And
40,185.84000000
41,0.830000
42,12.900
43,1525.50000
44,3.900000
45,0.000000
46, 
47, 
48,4813.00
49,11.00
50,2.20
51,-0.240
52,75.4392000
53,
54,
55,
56,14 Her b
57,14 Her
58,1765.03890112
59,2.773069
60,12.600
61,2586.74645
62,7.110000
63,0.372689
64, 
65, 
66,5338.00
67,0.93
68,0.91
69,0.405
70,17.9323000
71,
72,
73,
74,16 Cyg B b
75,16 Cyg B
76,798.50000000
77,1.660000
78,13.500
79,565.73740
80,1.260000
81,0.680000
82, 
83, 
84,5750.00
85,1.13
86,1.08
87,0.060
88,21.1397000
89,
90,
91,
92,17 Sco b
93,17 Sco
94,578.38000000
95,1.450000
96,12.900
97,1373.01872
98,3.510000
99,0.060000
100, 
101, 
102,4157.00
103,25.92
104,1.22
105,-0.010
106,124.9530000
107,
108,
109,
110,18 Del b
111,18 Del
112,993.30000000
113,2.600000
114,12.500
115,3273.50000
116,9.210000
117,0.080000
118, 
119, 
120,4979.00
121,8.50
122,2.30
123,-0.052
124,76.2220000
125,
126,
127,
128,1RXS J160929.1-210524 b
129,1RXS J160929.1-210524
130, 
131,330.000000
132,18.647
133,3000.00000
134,2.540000
135, 
136,1700
137, 
138,4060.00
139,1.31
140,0.85
141, 
142,139.1350000
143,
144,
145,
146,24 Boo b
147,24 Boo
148,30.35060000
149,0.190000
150,13.900
151,289.22530
152,0.592000
153,0.042000
154, 
155, 
156,4893.00
157,10.64
158,0.99
159,-0.770
160,95.9863000
161,
162,
163,
164,24 Sex b
165,24 Sex
166,452.80000000
167,1.333000
168,13.400
169,632.46000
170,1.440000
171,0.090000
172, 
173, 
174,5098.00
175,4.90
176,1.54
177,-0.030
178,72.0691000
179,
180,
181,
182,24 Sex c
183,24 Sex
184,883.00000000
185,2.080000
186,13.900
187,273.32000
188,0.559000
189,0.290000
190, 
191, 
192,5098.00
193,4.90
194,1.54
195,-0.030
196,72.0691000
197,
198,
199,
200,2M0437 b
201,2MASS J04372171+2651014
202, 
203,118.000000
204,13.000
205,1271.31363
206,3.180000
207, 
208,1450
209, 
210,3100.00
211,0.84
212,0.17
213,0.010
214,128.4840000
215,
216,
217,
218,2MASS J01033563-5515561 AB b
219,2MASS J01033563-5515561 A
220, 
221,84.000000
222,12.300
223,4131.79000
224,12.200000
225, 
226, 
227, 
228, 
229, 
230,0.19
231, 
232,47.2000000
