,planet_density,planet_radius,planet_mass
0,19.1,12.1,6165.6
1,13.8,12.3,4684.8142
2,3.9,12.9,1525.5
3,7.11,12.6,2586.74645
4,1.26,13.5,565.7374
5,3.51,12.9,1373.01872
6,9.21,12.5,3273.5
7,2.54,18.647,3000.0
8,0.592,13.9,289.2253
9,1.44,13.4,632.46
10,0.559,13.9,273.32
11,3.18,13.0,1271.31363
12,12.2,12.3,4131.79
13,30.4,11.209,7786.5
14,5.77,16.141,4417.837
15,6.55,12.6,2383.6
16,4.07,12.9,1589.15
17,1.38,13.4,603.877
18,11.7,12.3,3972.875
19,13.0,12.3,4392.4106
20,6.05,12.7,2256.5
21,3.08,13.0,1233.13
22,1.92,13.2,804.08
23,0.329,14.2,171.621
24,1.16,13.5,521.22
25,1.45,13.4,635.66
26,0.275,14.3,146.2018
27,0.54,13.9,263.9785
28,0.486,8.51,54.4738
29,3.08,13.0,1232.493
30,6.66,1.875,7.99
31,0.563,7.59,44.812
32,1.46,13.4,638.8383
33,2.98,2.11,5.1
34,1.13,4.46,18.2
35,0.943,5.11,22.9
36,1.34,13.4,587.9855
37,0.566,13.9,276.5121
38,6.54,12.6,2380.45
39,2.33,13.1,953.49
40,0.91,13.6,416.3573
41,4.41,12.8,1684.4
42,2.49,13.1,1017.0
43,8.05,12.5,2860.45566
44,12.7,12.3,4290.5
45,4.36,12.8,1664.46737
46,1.32,4.07,20.12
47,1.22,3.24,9.6
48,5.46,12.7,2034.112
49,0.691,13.8,330.5432
50,0.705,13.8,337.21763
51,0.754,13.7,352.78
52,62.2,11.6,17668.1697
53,11.4,12.4,3963.17
54,3.34,13.0,1334.886
55,7.89,2.578,22.2481
56,0.944,13.6,432.24663
57,0.592,13.9,289.2253
58,1.21,13.5,540.311
59,1.14,13.5,508.5
60,0.458,14.0,228.83645
61,8.27,14.684,4767.4261
62,3.15,13.0,1258.60049
63,25.3,12.0,7961.6016
64,2.02,2.85,8.5
65,0.495,8.38,53.0
66,1.48,3.61,12.7132
67,0.293,12.5,104.0
68,0.368,14.1,187.5197
69,0.405,14.1,206.5895
70,1.28,4.04,15.37
71,8.75,12.5,3108.3774
72,4.25,12.8,1620.9
73,3.6,1.82,3.95
74,9.62,12.4,3337.1
75,1.5,20.849,2479.06157
76,11.8,12.3,3994.486
77,10.6,12.4,3686.828
78,5.71,12.442,2002.31896
79,1.98,24.66,5403.0
80,0.38,16.7,327.35
81,3.7,10.87,874.0
82,0.99,16.03,740.51
83,0.411,16.14,291.438
84,2.34,9.92,415.704
85,7.3,12.22,2415.4
86,0.44,13.11,170.032
87,2.82,11.43,772.29
88,2.2,14.68,1102.82
89,0.71,14.46,352.78
90,1.47,16.432,1102.82
91,8.87,9.416,1366.669
92,16.4,12.2,5403.11
93,1.36,14.572,718.2958
94,0.249,4.88,12.2
95,3.0,11.77,889.9
96,0.9,3.7,5.7
97,1.3,5.0,28.0
98,0.15,12.11,85.81
99,0.28,14.12,165.26
100,12.6,11.287,3302.11
101,0.69,10.705,153.82972
102,1.45,10.088,270.1555
103,26.4,11.32,6883.91
104,3.45,11.31,921.707
105,0.33,16.365,266.9772
106,0.29,18.831,349.61125
107,0.25,15.805,216.12332
108,0.525,13.34,228.83
109,0.217,15.558,148.42
110,2.32,13.068,940.74
111,9.355,1.681,4.07661
112,2.04,2.83,8.4
113,1.18,4.31,17.142
114,1.6,6.39,69.92
115,0.86,11.949,266.9772
116,1.1,6.389,47.6745
117,11.0,12.4,3823.2733
118,29.5,11.9,9057.77
119,0.693,30.264,3496.0
120,0.901,5.29,24.27
121,1.84,3.06,9.6
122,4.1,1.65,3.35
123,3.53,1.86,4.13
124,0.261,14.3,138.89171
125,5.06,1.41,2.58
126,5.35,12.7,1995.88832
128,5.51,1.047,1.15
129,3.5,1.87,4.16
130,4.66,1.5,2.86
131,4.31,0.692,0.26
132,5.6,1.3,2.24
133,5.99,1.22,1.98
134,5.43,1.03,1.08
135,5.05,0.908,0.688
136,5.34,1.0,0.972
137,5.47,1.04,1.12
138,5.55,1.31,2.27
139,3.95,1.7,3.53
140,5.09,1.4,2.54
141,2.27,2.6,7.27
142,5.39,1.01,1.01
143,3.95,1.7,3.53
144,5.95,1.2,1.87
145,5.34,1.0,0.972
146,5.22,0.96,0.84
147,3.01,2.094,5.03
148,3.38,1.92,4.35
149,0.65,5.76,27.0
150,4.73,1.48,2.79
151,2.71,2.27,5.77
152,2.88,2.17,5.35
153,4.28,1.6,3.19
154,5.85,1.26,2.13
155,2.64,2.32,5.99
156,5.95,1.2,1.87
157,2.66,2.3,5.9
158,2.29,2.586,7.2
159,2.17,2.69,7.7
160,5.31,0.99,0.937
161,4.28,1.6,3.19
162,8.5,1.6,7.72
163,2.0,2.2,5.8
164,5.66,1.1,1.37
165,3.1,11.781,953.49
167,6.39,1.95,8.75
168,1.62,3.67,14.67
169,0.91,3.94,10.18
170,15.4,12.2,5085.28
171,5.12,1.39,2.5
172,3.78,1.76,3.75
174,5.43,1.03,1.08
175,5.61,1.1,1.36
176,5.66,1.1,1.37
177,5.82,1.18,1.74
178,5.77,1.16,1.64
179,6.3,1.13,1.66
180,4.96,1.43,2.64
181,0.315,11.9,96.7
182,0.409,9.71,68.06
183,1.7,3.25,10.62
184,2.2,2.742,8.17
185,4.41,1.18,1.32
186,2.24,2.63,7.4
187,7.0,2.61,22.7
188,4.47,1.55,3.03
189,0.667,6.67,36.0
190,1.76,3.17,10.2
191,1.7,3.25,10.6
192,2.39,2.5,6.8
193,0.779,5.92,29.4
194,0.533,13.9,260.61
195,2.49,2.43,6.49
196,2.51,2.41,6.4
197,2.21,2.66,7.56
198,3.25,1.98,4.59248
199,12.0,12.3,4067.84698
200,1.23,4.17,16.2
201,1.99,2.87,8.57613
202,1.31,3.96,14.85045
203,3.59,1.83,4.0
204,1.46,3.66,13.0
205,4.61,1.51,2.89
206,5.44,1.06,1.18
207,2.62,13.1,1071.04
208,2.07,2.79,8.2
209,1.89,2.13,3.34
210,5.95,1.18,1.78
211,3.46,1.88,4.18
212,1.71,3.23,10.5
213,1.86,13.3,794.5
214,1.17,13.5,522.5
215,1.57,3.45,11.73969
216,1.71,13.3,731.0
217,0.925,5.19,23.54
218,1.0,4.87,21.09
219,2.19,2.67,7.6
220,4.16,1.63,3.28
221,5.96,1.23,2.02
222,5.52,1.32,2.31
223,2.44,2.46,6.6
224,1.7,3.25,10.6
225,0.8,4.57,13.9
226,5.03,1.264,1.86
227,2.24,2.63,7.41
228,0.275,14.3,146.20107
229,0.431,9.32,63.56568
230,5.6,1.217,1.84
231,4.08,1.66,3.4
232,2.62,2.34,6.1
233,2.04,2.83,8.4
234,8.106,0.718,0.546
235,2.11,2.75,8.0
236,7.3,1.09,1.75
237,2.72,2.26,5.71
238,5.87,1.17,1.71
239,2.31,2.57,7.14
240,5.16,1.38,2.47
241,2.55,2.38,6.26
242,4.85,1.45,2.69
243,2.3,2.63,7.6
244,0.499,8.4,53.83
245,1.65,3.33,11.07
246,1.21,4.22,16.57
247,2.63,2.33,6.043
248,0.723,6.27,32.422
249,2.93,2.14,5.223
250,1.8,4.17,22.1
251,1.44,3.69,13.2
