,planet_mass,planet_radius,planet_density
0,6165.6,12.1,19.1
1,4684.8142,12.3,13.8
2,1525.5,12.9,3.9
3,2586.74645,12.6,7.11
4,565.7374,13.5,1.26
5,1373.01872,12.9,3.51
6,3273.5,12.5,9.21
7,3000.0,18.647,2.54
8,289.2253,13.9,0.592
9,632.46,13.4,1.44
10,273.32,13.9,0.559
11,1271.31363,13.0,3.18
12,4131.79,12.3,12.2
13,7786.5,11.209,30.4
14,4417.837,16.141,5.77
15,2383.6,12.6,6.55
16,1589.15,12.9,4.07
17,603.877,13.4,1.38
18,3972.875,12.3,11.7
19,4392.4106,12.3,13.0
20,2256.5,12.7,6.05
21,1233.13,13.0,3.08
22,804.08,13.2,1.92
23,171.621,14.2,0.329
24,521.22,13.5,1.16
25,635.66,13.4,1.45
26,146.2018,14.3,0.275
27,263.9785,13.9,0.54
28,54.4738,8.51,0.486
29,1232.493,13.0,3.08
30,7.99,1.875,6.66
31,44.812,7.59,0.563
32,638.8383,13.4,1.46
33,5.1,2.11,2.98
34,18.2,4.46,1.13
35,22.9,5.11,0.943
36,587.9855,13.4,1.34
37,276.5121,13.9,0.566
38,2380.45,12.6,6.54
39,953.49,13.1,2.33
40,416.3573,13.6,0.91
41,1684.4,12.8,4.41
42,1017.0,13.1,2.49
43,2860.45566,12.5,8.05
44,4290.5,12.3,12.7
45,1664.46737,12.8,4.36
46,20.12,4.07,1.32
47,9.6,3.24,1.22
48,2034.112,12.7,5.46
49,330.5432,13.8,0.691
50,337.21763,13.8,0.705
51,352.78,13.7,0.754
52,17668.1697,11.6,62.2
53,3963.17,12.4,11.4
54,1334.886,13.0,3.34
55,22.2481,2.578,7.89
56,432.24663,13.6,0.944
57,289.2253,13.9,0.592
58,540.311,13.5,1.21
59,508.5,13.5,1.14
60,228.83645,14.0,0.458
61,4767.4261,14.684,8.27
62,1258.60049,13.0,3.15
63,7961.6016,12.0,25.3
64,8.5,2.85,2.02
65,53.0,8.38,0.495
66,12.7132,3.61,1.48
67,104.0,12.5,0.293
68,187.5197,14.1,0.368
69,206.5895,14.1,0.405
70,15.37,4.04,1.28
71,3108.3774,12.5,8.75
72,1620.9,12.8,4.25
73,3.95,1.82,3.6
74,3337.1,12.4,9.62
75,2479.06157,20.849,1.5
76,3994.486,12.3,11.8
77,3686.828,12.4,10.6
78,2002.31896,12.442,5.71
79,5403.0,24.66,1.98
80,327.35,16.7,0.38
81,874.0,10.87,3.7
82,740.51,16.03,0.99
83,291.438,16.14,0.411
84,415.704,9.92,2.34
85,2415.4,12.22,7.3
86,170.032,13.11,0.44
87,772.29,11.43,2.82
88,1102.82,14.68,2.2
89,352.78,14.46,0.71
90,1102.82,16.432,1.47
91,1366.669,9.416,8.87
92,5403.11,12.2,16.4
93,718.2958,14.572,1.36
94,12.2,4.88,0.249
95,889.9,11.77,3.0
96,5.7,3.7,0.9
97,28.0,5.0,1.3
98,85.81,12.11,0.15
99,165.26,14.12,0.28
100,3302.11,11.287,12.6
101,153.82972,10.705,0.69
102,270.1555,10.088,1.45
103,6883.91,11.32,26.4
104,921.707,11.31,3.45
105,266.9772,16.365,0.33
106,349.61125,18.831,0.29
107,216.12332,15.805,0.25
108,228.83,13.34,0.525
109,148.42,15.558,0.217
110,940.74,13.068,2.32
111,4.07661,1.681,9.355
112,8.4,2.83,2.04
113,17.142,4.31,1.18
114,69.92,6.39,1.6
115,266.9772,11.949,0.86
116,47.6745,6.389,1.1
117,3823.2733,12.4,11.0
118,9057.77,11.9,29.5
119,3496.0,30.264,0.693
120,24.27,5.29,0.901
121,9.6,3.06,1.84
122,3.35,1.65,4.1
123,4.13,1.86,3.53
124,138.89171,14.3,0.261
125,2.58,1.41,5.06
126,1995.88832,12.7,5.35
128,1.15,1.047,5.51
129,4.16,1.87,3.5
130,2.86,1.5,4.66
131,0.26,0.692,4.31
132,2.24,1.3,5.6
133,1.98,1.22,5.99
134,1.08,1.03,5.43
135,0.688,0.908,5.05
136,0.972,1.0,5.34
137,1.12,1.04,5.47
138,2.27,1.31,5.55
139,3.53,1.7,3.95
140,2.54,1.4,5.09
141,7.27,2.6,2.27
142,1.01,1.01,5.39
143,3.53,1.7,3.95
144,1.87,1.2,5.95
145,0.972,1.0,5.34
146,0.84,0.96,5.22
147,5.03,2.094,3.01
148,4.35,1.92,3.38
149,27.0,5.76,0.65
150,2.79,1.48,4.73
151,5.77,2.27,2.71
152,5.35,2.17,2.88
153,3.19,1.6,4.28
154,2.13,1.26,5.85
155,5.99,2.32,2.64
156,1.87,1.2,5.95
157,5.9,2.3,2.66
158,7.2,2.586,2.29
159,7.7,2.69,2.17
160,0.937,0.99,5.31
161,3.19,1.6,4.28
162,7.72,1.6,8.5
163,5.8,2.2,2.0
164,1.37,1.1,5.66
165,953.49,11.781,3.1
167,8.75,1.95,6.39
168,14.67,3.67,1.62
169,10.18,3.94,0.91
170,5085.28,12.2,15.4
171,2.5,1.39,5.12
172,3.75,1.76,3.78
174,1.08,1.03,5.43
175,1.36,1.1,5.61
176,1.37,1.1,5.66
177,1.74,1.18,5.82
178,1.64,1.16,5.77
179,1.66,1.13,6.3
180,2.64,1.43,4.96
181,96.7,11.9,0.315
182,68.06,9.71,0.409
183,10.62,3.25,1.7
184,8.17,2.742,2.2
185,1.32,1.18,4.41
186,7.4,2.63,2.24
187,22.7,2.61,7.0
188,3.03,1.55,4.47
189,36.0,6.67,0.667
