,planet_radius,planet_mass,planet_density
0,12.1,6165.6,19.1
1,12.3,4684.8142,13.8
2,12.9,1525.5,3.9
3,12.6,2586.74645,7.11
4,13.5,565.7374,1.26
5,12.9,1373.01872,3.51
6,12.5,3273.5,9.21
7,18.647,3000.0,2.54
8,13.9,289.2253,0.592
9,13.4,632.46,1.44
10,13.9,273.32,0.559
11,13.0,1271.31363,3.18
12,12.3,4131.79,12.2
13,11.209,7786.5,30.4
14,16.141,4417.837,5.77
15,12.6,2383.6,6.55
16,12.9,1589.15,4.07
17,13.4,603.877,1.38
18,12.3,3972.875,11.7
19,12.3,4392.4106,13.0
20,12.7,2256.5,6.05
21,13.0,1233.13,3.08
22,13.2,804.08,1.92
23,14.2,171.621,0.329
24,13.5,521.22,1.16
25,13.4,635.66,1.45
26,14.3,146.2018,0.275
27,13.9,263.9785,0.54
28,8.51,54.4738,0.486
29,13.0,1232.493,3.08
30,1.875,7.99,6.66
31,7.59,44.812,0.563
32,13.4,638.8383,1.46
33,2.11,5.1,2.98
34,4.46,18.2,1.13
35,5.11,22.9,0.943
36,13.4,587.9855,1.34
37,13.9,276.5121,0.566
38,12.6,2380.45,6.54
39,13.1,953.49,2.33
40,13.6,416.3573,0.91
41,12.8,1684.4,4.41
42,13.1,1017.0,2.49
43,12.5,2860.45566,8.05
44,12.3,4290.5,12.7
45,12.8,1664.46737,4.36
46,4.07,20.12,1.32
47,3.24,9.6,1.22
48,12.7,2034.112,5.46
49,13.8,330.5432,0.691
50,13.8,337.21763,0.705
51,13.7,352.78,0.754
52,11.6,17668.1697,62.2
53,12.4,3963.17,11.4
54,13.0,1334.886,3.34
55,2.578,22.2481,7.89
56,13.6,432.24663,0.944
57,13.9,289.2253,0.592
58,13.5,540.311,1.21
59,13.5,508.5,1.14
60,14.0,228.83645,0.458
61,14.684,4767.4261,8.27
62,13.0,1258.60049,3.15
63,12.0,7961.6016,25.3
64,2.85,8.5,2.02
65,8.38,53.0,0.495
66,3.61,12.7132,1.48
67,12.5,104.0,0.293
68,14.1,187.5197,0.368
69,14.1,206.5895,0.405
70,4.04,15.37,1.28
71,12.5,3108.3774,8.75
72,12.8,1620.9,4.25
73,1.82,3.95,3.6
74,12.4,3337.1,9.62
75,20.849,2479.06157,1.5
76,12.3,3994.486,11.8
77,12.4,3686.828,10.6
78,12.442,2002.31896,5.71
79,24.66,5403.0,1.98
80,16.7,327.35,0.38
81,10.87,874.0,3.7
82,16.03,740.51,0.99
83,16.14,291.438,0.411
84,9.92,415.704,2.34
85,12.22,2415.4,7.3
86,13.11,170.032,0.44
87,11.43,772.29,2.82
88,14.68,1102.82,2.2
89,14.46,352.78,0.71
90,16.432,1102.82,1.47
91,9.416,1366.669,8.87
92,12.2,5403.11,16.4
93,14.572,718.2958,1.36
94,4.88,12.2,0.249
95,11.77,889.9,3.0
96,3.7,5.7,0.9
97,5.0,28.0,1.3
98,12.11,85.81,0.15
99,14.12,165.26,0.28
100,11.287,3302.11,12.6
101,10.705,153.82972,0.69
102,10.088,270.1555,1.45
103,11.32,6883.91,26.4
104,11.31,921.707,3.45
105,16.365,266.9772,0.33
106,18.831,349.61125,0.29
107,15.805,216.12332,0.25
108,13.34,228.83,0.525
109,15.558,148.42,0.217
110,13.068,940.74,2.32
111,1.681,4.07661,9.355
112,2.83,8.4,2.04
113,4.31,17.142,1.18
114,6.39,69.92,1.6
115,11.949,266.9772,0.86
116,6.389,47.6745,1.1
117,12.4,3823.2733,11.0
118,11.9,9057.77,29.5
119,30.264,3496.0,0.693
120,5.29,24.27,0.901
121,3.06,9.6,1.84
122,1.65,3.35,4.1
123,1.86,4.13,3.53
124,14.3,138.89171,0.261
125,1.41,2.58,5.06
126,12.7,1995.88832,5.35
128,1.047,1.15,5.51
129,1.87,4.16,3.5
130,1.5,2.86,4.66
131,0.692,0.26,4.31
132,1.3,2.24,5.6
133,1.22,1.98,5.99
134,1.03,1.08,5.43
135,0.908,0.688,5.05
136,1.0,0.972,5.34
137,1.04,1.12,5.47
138,1.31,2.27,5.55
139,1.7,3.53,3.95
140,1.4,2.54,5.09
141,2.6,7.27,2.27
142,1.01,1.01,5.39
143,1.7,3.53,3.95
144,1.2,1.87,5.95
145,1.0,0.972,5.34
146,0.96,0.84,5.22
147,2.094,5.03,3.01
148,1.92,4.35,3.38
149,5.76,27.0,0.65
150,1.48,2.79,4.73
151,2.27,5.77,2.71
152,2.17,5.35,2.88
153,1.6,3.19,4.28
154,1.26,2.13,5.85
155,2.32,5.99,2.64
156,1.2,1.87,5.95
157,2.3,5.9,2.66
158,2.586,7.2,2.29
159,2.69,7.7,2.17
160,0.99,0.937,5.31
161,1.6,3.19,4.28
162,1.6,7.72,8.5
163,2.2,5.8,2.0
164,1.1,1.37,5.66
165,11.781,953.49,3.1
167,1.95,8.75,6.39
168,3.67,14.67,1.62
169,3.94,10.18,0.91
170,12.2,5085.28,15.4
171,1.39,2.5,5.12
172,1.76,3.75,3.78
174,1.03,1.08,5.43
175,1.1,1.36,5.61
176,1.1,1.37,5.66
177,1.18,1.74,5.82
178,1.16,1.64,5.77
179,1.13,1.66,6.3
180,1.43,2.64,4.96
181,11.9,96.7,0.315
182,9.71,68.06,0.409
