,stellar_age_[gyr],stellar_effective_temperature_[k],stellar_mass_[solar_mass]
1,1.56,4213.0,2.78
2,4.5,4813.0,2.2
3,3.9,5338.0,0.91
4,7.4,5750.0,1.08
5,5.13,4157.0,1.22
6,1.1,4979.0,2.3
7,0.005,4060.0,0.85
8,6.92,4893.0,0.99
9,2.7,5098.0,1.54
10,2.7,5098.0,1.54
11,2.5,3100.0,0.17
12,0.03,5881.482919792835,0.5075928571428556
13,0.12,3530.0,0.4
14,0.035,3064.0,0.11
15,0.001,2936.0,0.02
16,0.008,2825.0,0.02
18,0.12,4045.0,0.6
19,0.91,6331.0,1.93
20,4.604,4415.0,1.23
21,9.49,4200.0,0.98
22,6.48,5872.0,1.06
23,6.48,5872.0,1.06
24,6.48,5872.0,1.06
25,0.02,7295.0,1.75
26,10.0,5758.0,1.03
27,5.5,5172.0,0.91
28,10.2,5172.0,0.91
29,5.5,5172.0,0.91
30,10.2,5172.0,0.91
31,10.2,5172.0,0.91
32,2.353,4938.0,1.44
33,8.96,5577.0,0.94
34,8.96,5577.0,0.94
35,8.96,5577.0,0.94
36,4.3,4826.0,1.34
37,4.3,4826.0,1.34
38,7.77,5495.0,1.09
40,1.7,4847.0,1.44
42,3.56,4665.0,1.4
43,0.003,9770.0,2.4
44,0.03,5285.0,0.9
45,0.024,6100.0,1.2
46,0.022,3588.0,0.5
47,0.022,3700.0,0.5
48,5.2,4095.0,1.14
50,7.41,4649.0,1.08
51,7.1,4796.0,1.1
55,3.34,5766.0,1.67
59,2.34,4943.0,1.52
61,0.1,4993.0,1.0
64,4.4,4324.0,0.7
65,4.4,4324.0,0.7
66,4.5,4816.0,0.5
67,4.5,4746.0,0.74
68,1.0,5393.0,1.47
69,7.4,4550.0,0.65
70,7.4,4550.0,0.65
71,0.74,4545.0,2.12
72,4.3,4714.0,0.74
73,3.0,3130.0,0.16
75,0.003,2320.0,0.01
76,0.002,3099.0,0.5075928571428556
77,0.003,3807.0,0.9
78,0.475,3406.0,0.37
80,1.6,5950.0,0.95
81,3.0,5075.0,0.89
82,2.0,6440.0,1.27
83,6.3,5675.0,1.08
84,1.635,5945.0,1.09
85,4.2,6035.0,1.13
86,6.73,5650.0,1.1
87,10.7,5740.0,1.04
88,0.032,5440.0,0.95
89,5.0,6090.0,1.21
90,2.7,5625.0,0.96
91,0.1,5880.0,1.14
92,0.1,4947.5,1.14
93,4.1,6200.0,1.29
94,3.3,5939.0,1.1
95,7.2,5900.0,1.14
96,11.0,4950.0,0.91
97,11.0,4950.0,0.91
98,4.5,6040.0,1.09
99,8.6,5590.0,1.09
100,4.21,5900.0,1.05
101,12.0,5150.0,1.01
102,4.5,5260.0,0.97
103,2.2,6740.0,1.37
104,3.0,5650.0,0.98
105,4.7,5700.0,1.25
106,6.1,6390.0,1.01
107,2.1,6730.0,1.32
108,1.0,6190.0,1.16
109,6.9,6100.0,1.0
110,2.5,6090.0,1.05
111,1.8,5275.0,0.82
112,1.8,5256.0,0.9
113,1.8,5250.0,0.92
114,3.0,5080.0,0.88
115,6.0,5625.0,0.96
118,1.0,5792.666141491118,0.5075928571428556
119,0.001,4371.0,0.33
120,2.01,6196.0,1.21
121,2.01,6196.0,1.21
122,2.01,6196.0,1.21
123,2.01,6196.0,1.21
124,2.0,6500.0,1.44
125,10.9,5138.0,0.87
127,0.045,5428.0,1.01
148,0.79,4057.0,0.62
149,3.99,6069.0,1.17
162,5.0,5613.0,0.93
163,5.0,5613.0,0.93
165,3.02,6202.0,1.32
167,9.0,5430.0,1.05
168,9.0,5430.0,1.05
169,9.0,5430.0,1.05
170,0.001,2838.0,0.5075928571428556
173,9.9,3348.0,0.29
176,7.0,2953.0,0.12
177,7.0,2953.0,0.12
178,7.0,2953.0,0.12
179,5.0,3270.0,0.18
180,5.0,3270.0,0.18
184,3.0,3250.0,0.18
185,3.9,3458.0,0.38
187,3.8,4640.0,0.73
191,6.0,3500.0,0.4
192,6.0,3500.0,0.4
193,6.0,3500.0,0.4
201,0.4,3912.54,0.51
202,0.4,3564.0,0.51
207,0.37,5540.0,0.9
213,5.0,3492.73,0.42
214,5.0,3492.73,0.42
224,4.0,4014.0,0.64
225,1.65,3600.0,0.54
228,5.5,3081.0,0.12
229,5.5,3081.0,0.12
233,5.0,3517.0,0.45
236,7.1,3384.0,0.31
237,7.1,3384.0,0.31
242,8.047,3719.0,0.39
243,12.4,4120.0,0.65
244,12.4,4120.0,0.65
246,6.9,3387.0,0.41
250,6.0,3586.11,0.47
253,0.16,6234.0,1.22
254,0.8,3728.0,0.51
255,0.4,3685.0,0.52
256,4.3,3396.0,0.31
257,4.3,3396.0,0.31
258,4.3,3396.0,0.31
260,0.44,3700.0,0.54
261,2.0,3350.0,0.5075928571428556
262,2.0,3350.0,0.5075928571428556
263,2.0,3350.0,0.5075928571428556
264,2.0,3350.0,0.5075928571428556
265,2.0,3350.0,0.5075928571428556
266,0.55,3600.0,0.35
279,9.24,3472.0,0.45
280,3.0,3562.68,0.49
281,3.0,3562.68,0.49
282,11.3,5182.0,0.93
283,1.0,3293.74,0.32
284,1.0,3293.74,0.32
285,1.0,3293.74,0.32
286,1.0,3271.0,0.32
287,2.88,3688.0,0.49
288,2.88,3688.0,0.49
292,8.9,3836.0,0.59
294,10.0,4340.0,0.61
295,10.0,4340.0,0.61
296,10.0,4340.0,0.61
297,0.27,7000.0,1.68
298,0.001,4360.0,0.7
299,0.005,4200.0,0.9
300,0.1,4031.81,0.33
306,3.6,5980.0,1.15
307,6.5,4780.0,0.81
308,6.5,4780.0,0.81
309,2.5,4650.0,0.73
310,5.0,5653.0,1.32
311,5.0,5653.0,1.32
312,1.6,6600.0,2.65
313,6.8,5568.0,1.0
314,2.0,6158.0,1.22
315,7.8,5246.0,0.99
316,7.8,5336.96,0.92
317,12.4,4803.0,0.77
318,8.8,4990.0,0.84
319,1.44,6380.0,1.33
320,6.7,4595.0,0.76
321,10.2,5588.0,1.24
322,12.4,5302.0,1.13
323,4.0,5905.0,0.58
324,2.8,6373.0,1.37
325,3.2,5519.0,1.01
326,9.0,5079.0,1.12
327,4.4,5316.0,0.92
328,6.1,5680.0,1.03
329,2.2,6087.0,1.45
330,1.6,5185.0,1.06
331,1.0,6304.0,1.55
332,3.17,6065.0,1.31
333,2.7,6001.0,1.13
334,2.3,6446.0,1.82
335,1.7,6442.0,1.39
336,3.5,6096.0,1.24
337,6.6,5620.0,1.03
338,3.6,5500.0,0.93
339,10.1,5330.0,0.89
340,2.0,6430.0,1.4
341,3.9,5860.0,0.56
342,2.7,6080.0,1.03
343,2.2,6390.0,2.56
344,5.2,5743.0,1.18
345,5.7,5693.0,1.03
346,7.5,5295.0,0.94
347,7.5,5295.0,0.94
348,2.0,6330.0,1.26
349,2.5,6120.0,1.28
350,1.5,6820.0,2.22
351,2.6,5960.0,1.04
352,3.37,6280.0,1.27
353,8.2,5449.0,0.98
354,9.4,5131.0,0.89
355,4.67,5956.0,1.09
356,3.9,4390.0,0.65
357,4.2,5808.0,1.01
358,2.01,6566.0,1.42
359,1.0,6330.0,2.77
360,7.11,6078.0,1.03
361,7.3,5678.0,1.01
362,2.3,6570.0,1.79
363,2.765,6212.0,1.44
364,2.6,5587.0,1.0
365,8.1,5629.0,1.02
366,9.0,5400.0,0.93
367,2.88,6457.0,1.3
368,5.46,5835.0,1.21
369,4.66,6002.0,1.26
370,1.24,6406.0,1.64
371,11.1,4508.0,0.68
372,1.27,7394.0,1.65
373,2.07,6389.0,1.56
374,0.6,8450.0,1.89
375,3.4,6200.0,1.27
376,1.6,6350.0,1.28
377,6.0,5870.0,0.99
378,3.3,5880.0,1.1
379,7.7,6563.0,1.33
380,2.36,6357.0,1.16
381,2.5,5523.0,0.96
382,4.9,5346.0,0.97
383,11.0,5311.0,0.87
384,9.5,5738.0,0.97
385,2.1,5846.0,1.13
386,4.2,5600.0,1.04
387,9.7,5227.0,0.88
389,4.2,5780.0,1.12
390,3.7,6125.0,1.07
391,7.5,5715.0,0.99
392,4.04,6071.0,1.3
393,2.3,6438.0,1.42
394,6.2,5498.0,0.93
395,5.5,5670.0,1.03
396,3.2,6351.0,1.21
397,2.3,5943.0,1.09
398,4.3,6050.0,1.27
399,3.5,5700.0,1.1
400,3.0,5659.0,1.06
401,7.7,5380.0,0.96
402,2.13,6300.0,1.32
403,0.62,5950.0,1.1
404,11.46,5326.0,0.84
405,11.89,5732.0,0.89
406,2.06,6572.0,1.38
407,2.1,5403.0,1.0
408,2.07,6460.0,1.56
409,1.34,6424.0,1.5
410,3.26,6060.0,1.27
411,8.6,5099.0,0.84
412,9.7,5080.0,0.86
413,1.52,6450.0,1.27
414,3.0,5495.0,0.92
415,8.1,4512.0,0.67
416,11.97,4546.0,0.73
417,10.5,4405.0,0.71
418,3.6,5304.0,0.94
419,1.2,5990.0,1.17
420,4.74,5758.0,1.19
421,1.2,6010.0,1.11
422,9.0,5644.0,0.96
423,7.96,5621.0,1.05
424,0.4,6214.0,1.2
425,1.894,6536.0,1.57
426,2.5,5587.0,1.03
427,0.31,7175.0,1.46
428,4.3,5670.0,1.04
429,4.3,5670.0,1.04
430,8.1,3724.0,0.57
431,7.55,5688.0,1.1
