,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
0,4742.0,19.0,2.7,2.31
1,4213.0,29.79,2.78,1.93
2,4813.0,11.0,2.2,2.63
3,5338.0,0.93,0.91,4.45
4,5750.0,1.13,1.08,4.36
5,4157.0,25.92,1.22,1.7
6,4979.0,8.5,2.3,2.82
7,4060.0,1.31,0.85,4.0
8,4893.0,10.64,0.99,2.42
9,5098.0,4.9,1.54,3.5
10,5098.0,4.9,1.54,3.5
11,3100.0,0.84,0.17,4.5
13,3530.0,0.37,0.4,4.86
14,3064.0,0.28,0.11,4.59
15,2936.0,0.23,0.02,5.01
16,2825.0,0.22,0.02,5.03
17,29564.0,0.2,0.48,5.51
18,4045.0,0.64,0.6,4.62
19,6331.0,1.41,1.93,4.43
20,4415.0,18.11,1.23,1.8
21,4200.0,22.03,0.98,1.71
22,5872.0,1.21,1.06,4.3
23,5872.0,1.21,1.06,4.3
24,5872.0,1.21,1.06,4.3
25,7295.0,1.49,1.75,4.31
26,5758.0,1.18,1.03,4.31
27,5172.0,0.94,0.91,4.43
28,5172.0,0.94,0.91,4.43
29,5172.0,0.94,0.91,4.43
30,5172.0,0.94,0.91,4.43
31,5172.0,0.94,0.91,4.43
32,4938.0,5.2,1.44,3.19
33,5577.0,0.96,0.94,4.34
34,5577.0,0.96,0.94,4.34
35,5577.0,0.96,0.94,4.34
36,4826.0,4.87,1.34,3.19
37,4826.0,4.87,1.34,3.19
38,5495.0,1.89,1.09,3.95
39,4846.0,10.5,2.49,2.63
40,4847.0,10.3,1.44,2.57
41,4785.0,11.0,2.4,2.35
42,4665.0,11.0,1.4,2.52
43,9770.0,2.96,2.4,3.77
44,5285.0,1.0,0.9,4.53
45,6100.0,1.25,1.2,4.4
46,3588.0,0.7,0.5,4.39
47,3700.0,0.75,0.5,4.39
48,4095.0,32.35,1.14,1.89
49,4864.0,0.86,0.49,4.26
50,4649.0,8.95,1.08,2.61
51,4796.0,14.7,1.1,2.8
52,4259.0,71.02,10.83,1.77
53,4137.0,49.0,2.8,1.51
54,4296.0,17.3,0.8,1.99
55,5766.0,1.08,1.67,4.5
56,5004.0,0.81,0.81,4.22
57,4414.0,11.0,0.74,2.24
58,4534.0,10.33,1.09,2.48
59,4943.0,7.6,1.52,2.85
60,5012.0,0.9,0.91,4.09
61,4993.0,0.8,1.0,4.55
62,5000.0,0.8,0.82,4.2
63,5040.0,0.84,0.81,4.25
64,4324.0,0.69,0.7,4.74
65,4324.0,0.69,0.7,4.74
66,4816.0,0.71,0.5,4.43
67,4746.0,0.72,0.74,4.13
68,5393.0,0.91,1.47,4.69
69,4550.0,0.64,0.65,4.64
70,4550.0,0.64,0.65,4.64
71,4545.0,19.17,2.12,2.2
