,0
0,
1,
2,11 Com b
3,1
4, 
5, 
6,2.31
7, 
8,
9,
10,
11,11 UMi b
12,1
13, 
14, 
15,1.93
16,1.560
17,
18,
19,
20,14 And b
21,1
22, 
23, 
24,2.63
25,4.500
26,
27,
28,
29,14 Her b
30,2
31, 
32,144.652
33,4.45
34,3.900
35,
36,
37,
38,16 Cyg B b
39,1
40, 
41, 
42,4.36
43,7.400
44,
45,
46,
47,17 Sco b
48,1
49, 
50, 
51,1.70
52,5.130
53,
54,
55,
56,18 Del b
57,1
58, 
59, 
60,2.82
61,1.100
62,
63,
64,
65,1RXS J160929.1-210524 b
66,1
67, 
68, 
69,4.00
70,0.005
71,
72,
73,
74,24 Boo b
75,1
76, 
77, 
78,2.42
79,6.920
80,
81,
82,
83,24 Sex b
84,2
85, 
86, 
87,3.50
88,2.700
89,
90,
91,
92,24 Sex c
93,2
94, 
95, 
96,3.50
97,2.700
98,
99,
100,
101,2M0437 b
102,1
103, 
104, 
105,4.50
106,2.500
107,
108,
109,
110,2MASS J01033563-5515561 AB b
111,1
112, 
113, 
114, 
115,0.030
116,
117,
118,
119,2MASS J01225093-2439505 b
120,1
121, 
122, 
123,4.86
124,0.120
125,
126,
127,
128,2MASS J02192210-3925225 b
129,1
130, 
131, 
132,4.59
133,0.035
134,
135,
136,
137,2MASS J04414489+2301513 b
138,1
139, 
140, 
141,5.01
142,0.001
143,
144,
145,
146,2MASS J12073346-3932539 b
147,1
148, 
149, 
150,5.03
151,0.008
152,
153,
154,
155,2MASS J19383260+4603591 b
156,3
157, 
158, 
159,5.51
160, 
161,
162,
163,
164,2MASS J22362452+4751425 b
165,1
166, 
167, 
168,4.62
169,0.120
170,
171,
172,
173,30 Ari B b
174,1
175, 
176, 
177,4.43
178,0.910
179,
180,
181,
182,4 UMa b
183,1
184, 
185, 
186,1.80
187,4.604
188,
189,
190,
191,42 Dra b
192,1
193, 
194, 
195,1.71
196,9.490
197,
198,
199,
200,47 UMa b
201,3
202, 
203, 
204,4.30
205,6.480
206,
207,
208,
209,47 UMa c
210,3
211, 
212, 
213,4.30
214,6.480
215,
216,
217,
218,47 UMa d
219,3
220, 
221, 
222,4.30
223,6.480
224,
225,
226,
227,51 Eri b
228,1
229, 
230,133.000
231,4.31
232,0.020
233,
234,
235,
236,51 Peg b
237,1
238, 
239,80.000
240,4.31
241,10.000
242,
243,
244,
245,55 Cnc b
246,5
247, 
248,89.730
249,4.43
250,5.500
251,
252,
253,
254,55 Cnc c
255,5
256, 
257,89.730
258,4.43
259,10.200
260,
261,
262,
263,55 Cnc d
264,5
265, 
266,89.730
267,4.43
268,5.500
269,
270,
271,
272,55 Cnc e
273,5
274,2657.83
275,83.590
276,4.43
277,10.200
278,
279,
280,
281,55 Cnc f
282,5
283, 
284,89.730
285,4.43
286,10.200
287,
288,
289,
